host	id	date	location	title	guestid	guestname	cabinet		
Fabrice Comptour Rolf Carsten Bermig	51b1a6394f31bb286a09838b80250f99	01/12/2014	Berlaymont, Brussels	Functioning of the internal market and the key role of intellectual property in fostering innovation, creation and growth.	27762251795-15	Confederazione Generale dell'Industria Italiana	Cabinet members of Commissioner Elżbieta Bieńkowska		
Fabrice Comptour Rolf Carsten Bermig	51b1a6394f31bb286a09838b80250f99	01/12/2014	Berlaymont, Brussels	Functioning of the internal market and the key role of intellectual property in fostering innovation, creation and growth.	94241791376-49	Lithuanian Business Representation in Brussels	Cabinet members of Commissioner Elżbieta Bieńkowska		
Fabrice Comptour Rolf Carsten Bermig	51b1a6394f31bb286a09838b80250f99	01/12/2014	Berlaymont, Brussels	Functioning of the internal market and the key role of intellectual property in fostering innovation, creation and growth.	251117611140-75	Polish Confederation Lewiatan	Cabinet members of Commissioner Elżbieta Bieńkowska		
Fabrice Comptour Rolf Carsten Bermig	51b1a6394f31bb286a09838b80250f99	01/12/2014	Berlaymont, Brussels	Functioning of the internal market and the key role of intellectual property in fostering innovation, creation and growth.	73725676990-18	Confederation of British Industry	Cabinet members of Commissioner Elżbieta Bieńkowska		
Fabrice Comptour Rolf Carsten Bermig	51b1a6394f31bb286a09838b80250f99	01/12/2014	Berlaymont, Brussels	Functioning of the internal market and the key role of intellectual property in fostering innovation, creation and growth.	59395037733-93	ΣΕΒ σύνδεσμος επιχειρήσεων και βιομηχανιών (SEV - Hellenic Federation of Enterprises)	Cabinet members of Commissioner Elżbieta Bieńkowska		
Commissioner Věra Jourová	78132ec9985d1cc1e051b8ff70b45ba4	16/02/2015	Brussels, Belgium	Equal Treatment Directive	8557515321-37	Open Society European Policy Institute			
Commissioner Věra Jourová	78132ec9985d1cc1e051b8ff70b45ba4	16/02/2015	Brussels, Belgium	Equal Treatment Directive	09854512780-89	European Network Against Racism			
Commissioner Věra Jourová	78132ec9985d1cc1e051b8ff70b45ba4	16/02/2015	Brussels, Belgium	Equal Treatment Directive	unregistered	Platform of European Social NGOs (Social Platform)			
Commissioner Věra Jourová	78132ec9985d1cc1e051b8ff70b45ba4	16/02/2015	Brussels, Belgium	Equal Treatment Directive	11063928073-34	Amnesty International European Institutions Office			
Commissioner Věra Jourová	78132ec9985d1cc1e051b8ff70b45ba4	16/02/2015	Brussels, Belgium	Equal Treatment Directive	85686156700-13	European Women's Lobby			
Commissioner Věra Jourová	78132ec9985d1cc1e051b8ff70b45ba4	16/02/2015	Brussels, Belgium	Equal Treatment Directive	11977456675-84	The European Region of the International Lesbian, Gay, Bisexual, Trans and Intersex Association			
Commissioner Věra Jourová	78132ec9985d1cc1e051b8ff70b45ba4	16/02/2015	Brussels, Belgium	Equal Treatment Directive	16549972091-86	AGE Platform Europe			
Commissioner Věra Jourová	78132ec9985d1cc1e051b8ff70b45ba4	16/02/2015	Brussels, Belgium	Equal Treatment Directive	394013515467-95	The International Lesbian, Gay, Bisexual, Transgender & Queer Youth & Student Organisation			
Commissioner Věra Jourová	78132ec9985d1cc1e051b8ff70b45ba4	16/02/2015	Brussels, Belgium	Equal Treatment Directive	57868523887-16	European Disability Forum			
Commissioner Věra Jourová	aeed65acf6ef5a9467ac48111e5c86a9	10/02/2015	Strasbourg, France	Energy Union and Women on Boards proposal	429600710582-32	ČEZ, a.s.			
Commissioner Věra Jourová	0a4ab9dc28a685f2bc02c88bd5628492	05/02/2015	Brussels, Belgium	Fundamental Rights and Hate speech	11063928073-34	Amnesty International European Institutions Office			
Commissioner Věra Jourová	25378aa8610264e4dda15947bf409c50	03/02/2015	Brussels, Belgium	Presentation of EJTN activities	866707814603-68	European Judicial Training Network			
Commissioner Věra Jourová	7d8343d8ed9171f4a71e23f6fe948d69	02/02/2015	Brussels, Belgium	Digital Single Market	60052162589-72	Deutsche Telekom			
Commissioner Věra Jourová	7d8343d8ed9171f4a71e23f6fe948d69	02/02/2015	Brussels, Belgium	Digital Single Market	76704342721-41	Orange			
Commissioner Věra Jourová	7d8343d8ed9171f4a71e23f6fe948d69	02/02/2015	Brussels, Belgium	Digital Single Market	52431421-12	Telefonica, S.A.			
Commissioner Věra Jourová	d3bf940f844444ffb894443554884dcf	26/01/2015	Prague, Czech Republic	Commission's legislative actions and proposals on public documents	unregistered	Notaries Chamber of Czech republic			
Commissioner Věra Jourová	38c99232597ac9939da19e9bb69de3d6	22/01/2015	Brussels, Belgium	Presentation of the network, exchange of views	587174614073-09	ERGO Network			
Commissioner Věra Jourová	76b08a572ad5f0ec0bafc480ac18e202	20/01/2015	Brussels, Belgium	Data protection	0801162959-21	Microsoft Corporation			
Commissioner Věra Jourová	e5c2eac70927ca267c70225f739e7200	19/01/2015	Brussels, Belgium	Data protection	03181945560-59	Google			
Commissioner Věra Jourová	80937607ee70940cb81cc581d51fa6a2	19/01/2015	Brussels, Belgium	ELI-EU relations, EU projects	455458212010-50	European Law Institute			
Commissioner Věra Jourová	2d6e4a326209f0adb0787df4c04d112d	16/01/2015	PRAGUE, CZECH REPUBLIC	Round Table on Gender Diversity	29840188581-12	SODEXO			
Commissioner Věra Jourová	2d6e4a326209f0adb0787df4c04d112d	16/01/2015	PRAGUE, CZECH REPUBLIC	Round Table on Gender Diversity	429600710582-32	ČEZ, a.s.			
Commissioner Věra Jourová	2d6e4a326209f0adb0787df4c04d112d	16/01/2015	PRAGUE, CZECH REPUBLIC	Round Table on Gender Diversity	7990322925-77	GlaxoSmithKline			
Commissioner Věra Jourová	2d6e4a326209f0adb0787df4c04d112d	16/01/2015	PRAGUE, CZECH REPUBLIC	Round Table on Gender Diversity	0801162959-21	Microsoft Corporation			
Commissioner Věra Jourová	2d6e4a326209f0adb0787df4c04d112d	16/01/2015	PRAGUE, CZECH REPUBLIC	Round Table on Gender Diversity	7721359944-96	IBM Corporation			
Commissioner Věra Jourová	2d6e4a326209f0adb0787df4c04d112d	16/01/2015	PRAGUE, CZECH REPUBLIC	Round Table on Gender Diversity	7790041608-14	ABB			
Commissioner Věra Jourová	2d6e4a326209f0adb0787df4c04d112d	16/01/2015	PRAGUE, CZECH REPUBLIC	Round Table on Gender Diversity	34424201320-69	Accenture International SARL			
Commissioner Věra Jourová	2d6e4a326209f0adb0787df4c04d112d	16/01/2015	PRAGUE, CZECH REPUBLIC	Round Table on Gender Diversity	91269481588-28	Novartis International AG			
Commissioner Věra Jourová	2d6e4a326209f0adb0787df4c04d112d	16/01/2015	PRAGUE, CZECH REPUBLIC	Round Table on Gender Diversity	910859715397-14	Erste Group Bank AG			
Commissioner Věra Jourová	3e9577d973d4e720f8758e3a5f2c10c5	14/01/2015	Brussels, Belgium	Company law, Consumer protection/Product Safety, Data Protection, Gender Equality	3978240953-79	BUSINESSEUROPE			
Commissioner Věra Jourová	7a35138e7d5d5942874b67e8d29b20f9	09/01/2015	Brussels, Belgium	Roundtable with NGOs on fundamental rights and non-discrimination	11977456675-84	The European Region of the International Lesbian, Gay, Bisexual, Trans and Intersex Association			
Commissioner Věra Jourová	7a35138e7d5d5942874b67e8d29b20f9	09/01/2015	Brussels, Belgium	Roundtable with NGOs on fundamental rights and non-discrimination	16549972091-86	AGE Platform Europe			
Commissioner Věra Jourová	7a35138e7d5d5942874b67e8d29b20f9	09/01/2015	Brussels, Belgium	Roundtable with NGOs on fundamental rights and non-discrimination	57868523887-16	European Disability Forum			
Commissioner Věra Jourová	7a35138e7d5d5942874b67e8d29b20f9	09/01/2015	Brussels, Belgium	Roundtable with NGOs on fundamental rights and non-discrimination	85083981189-35	Platform of European Social NGOs			
Commissioner Věra Jourová	7a35138e7d5d5942874b67e8d29b20f9	09/01/2015	Brussels, Belgium	Roundtable with NGOs on fundamental rights and non-discrimination	85686156700-13	European Women's Lobby			
Commissioner Věra Jourová	7a35138e7d5d5942874b67e8d29b20f9	09/01/2015	Brussels, Belgium	Roundtable with NGOs on fundamental rights and non-discrimination	97628146980-33	International Federation for Human Rights			
Commissioner Věra Jourová	7a35138e7d5d5942874b67e8d29b20f9	09/01/2015	Brussels, Belgium	Roundtable with NGOs on fundamental rights and non-discrimination	43750202163-43	European Council on Refugees and Exiles			
Commissioner Věra Jourová	7a35138e7d5d5942874b67e8d29b20f9	09/01/2015	Brussels, Belgium	Roundtable with NGOs on fundamental rights and non-discrimination	09854512780-89	European Network Against Racism			
Commissioner Věra Jourová	7a35138e7d5d5942874b67e8d29b20f9	09/01/2015	Brussels, Belgium	Roundtable with NGOs on fundamental rights and non-discrimination	43251547769-22	European Youth Forum			
Commissioner Věra Jourová	7a35138e7d5d5942874b67e8d29b20f9	09/01/2015	Brussels, Belgium	Roundtable with NGOs on fundamental rights and non-discrimination	195536914302-36	European Network on Religion and Belief			
Commissioner Věra Jourová	7a35138e7d5d5942874b67e8d29b20f9	09/01/2015	Brussels, Belgium	Roundtable with NGOs on fundamental rights and non-discrimination	56362448807-46	Human Rights Watch			
Commissioner Věra Jourová	ef57f22f2d72713cdfe47a899bb89f5a	18/12/2014	Brussels, Belgium	Gender equality	85686156700-13	European Women's Lobby			
Commissioner Věra Jourová	3b98e09322b904212cd30442f1d7f38c	17/12/2014	Brussels, Belgium	Consumer protection	9505781573-45	Bureau Européen des Unions de Consommateurs			
Commissioner Věra Jourová	ed254157f0b443c1ee715049b81e33e4	09/12/2014	Brussels, Belgium	Non-discrimination policies	8557515321-37	Open Society European Policy Institute			
Daniel Braun	18929453517db74bd9f631aca9462290	06/03/2015	Brussels, Belgium	Children's rights	11610562644-55	Save the Children International	Cabinet members of Commissioner Věra Jourová		
Kevin O'Connell	9a727862aad4335c2ea943b3c0470113	05/03/2015	Brussels, Belgium	Behavioural energy efficiency	29998399550-65	Opower-UK LTD	Cabinet members of Commissioner Věra Jourová		
Renate Nikolay	fb0a28750d97b30d14df10850a5509b1	04/03/2015	Brussels, Belgium	Data protection legislation	40471017282-57	Samsung Electronics Europe	Cabinet members of Commissioner Věra Jourová		
Daniel Braun	50393bb3503ad3136762e714e0a9efe3	03/03/2015	Brussels, Belgium	Children's rights, Child protection	849607914394-57	Lumos Foundation	Cabinet members of Commissioner Věra Jourová		
Renate Nikolay	eda23cd1a0420cbbab5bed6da465d537	25/02/2015	Brussels, Belgium	Single Member Company	74591581960-65	Bundesnotarkammer	Cabinet members of Commissioner Věra Jourová		
Renate Nikolay	f0cf415332d7e87420de8b6cf2aea702	25/02/2015	Brussels, Belgium	Digital Single Market	84973761187-60	EuroCommerce	Cabinet members of Commissioner Věra Jourová		
Daniel Braun	0b02d6a2d013c8865b34944b991a0a4e	25/02/2015	Brussels, Belgium	2015 CWP	237732715185-74	Petr Kolar	Cabinet members of Commissioner Věra Jourová		
Eduard Hulicius	a564039e40366415462ed8e70a75d3b7	24/02/2015	Brussels, Belgium	Digital sinle market and consumer protection	9505781573-45	Bureau Européen des Unions de Consommateurs	Cabinet members of Commissioner Věra Jourová		
Eduard Hulicius	037df5b303f72ec0636dbcdb4d0e6c46	24/02/2015	Brussels, Belgium	Class action lawsuits in the EU	237827912873-79	LINDAT/CLARIN	Cabinet members of Commissioner Věra Jourová		
Eduard Hulicius	f3dbccc1a730b0f3554dae1147ba7d27	24/02/2015	Brussels, Belgium	Energy Union and consumer protection	9505781573-45	Bureau Européen des Unions de Consommateurs	Cabinet members of Commissioner Věra Jourová		
Eduard Hulicius	e77c44bfe08e9d47e6710f4eb841dd39	23/02/2015	Brussels, Belgium	Capital Markets Union, transparency of disclosure and consumer protection	5437826103-53	The Investment Association	Cabinet members of Commissioner Věra Jourová		
Eduard Hulicius	8b95f0933126412ad1a7ef08dca398df	20/02/2015	Brussels, Belgium	Direct selling and unfair commercial practices	1710335466-15	Seldia - The European Direct Selling Association	Cabinet members of Commissioner Věra Jourová		
Eduard Hulicius	6f504695ee4f107b4995139d60e440c3	19/02/2015	Brussels, Belgium	Consumers protection	16094042309-21	LVMH Publica	Cabinet members of Commissioner Věra Jourová		
Renate Nikolay	bca61124e26ef1390ed1145936cd8dea	12/02/2015	Brussels, Belgium	Travel Package Directive	51981812506-57	Deutscher ReiseVerband	Cabinet members of Commissioner Věra Jourová		
Eduard Hulicius	fb6248ace39764d689944f9aa72518d4	09/02/2015	Brussels, Belgium	Travel Package	60394321918-91	IFPI Representing recording industry worldwide	Cabinet members of Commissioner Věra Jourová		
Simona Constantin	44583fb2c1872072242e56214841b55a	05/02/2015	Brussels, Belgium	Presentation of civil justice priorities	0014082722-83	EUROCHAMBRES – Association of European Chambers of Commerce and Industry	Cabinet members of Commissioner Věra Jourová		
Renate Nikolay	e665d53f6a1f97dd1c247b12fe964106	05/02/2015	Brussels, Belgium	Issues related to Data Protection	89092554724-82	Trans-Atlantic Business Council	Cabinet members of Commissioner Věra Jourová		
Eduard Hulicius	6171488cf2fbe13ecd482460cc1d48ff	04/02/2015	Brussels, Belgium	Digital Single Market	2893800753-48	Verbraucherzentrale Bundesverband	Cabinet members of Commissioner Věra Jourová		
Eduard Hulicius	92c68dc5a099f33ac8fdd706c4cfe768	03/02/2015	Brussels, Belgium	Travel package	71031367582-11	ABTA - The Travel Association	Cabinet members of Commissioner Věra Jourová		
Daniel Braun	a4d927c044aa967ae75f2c3c6624badd	03/02/2015	Brussels, Belgium	Corporate governance	24633926420-79	The European Federation of Financial Services Users	Cabinet members of Commissioner Věra Jourová		
Simona Constantin	a23252b49c9de994a60f68cd29d61357	03/02/2015	Brussels, Belgium	Presentation of the civil justice priorities	98885666486-72	Conseil des Notariats de l'Union Européenne	Cabinet members of Commissioner Věra Jourová		
Eduard Hulicius	14107f3e98b91247c5a23c33a053881d	30/01/2015	Brussels, Belgium	ADR/ODR	749106215594-61	Youstice	Cabinet members of Commissioner Věra Jourová		
Eduard Hulicius	26b0e222d45b76ec92b7cc76605d86fa	28/01/2015	Brussels, Belgium	Consumer agenda of Commissioner Jourova	5265780509-97	American Chamber of Commerce to the European Union	Cabinet members of Commissioner Věra Jourová		
Renate Nikolay	81e220d7431b092b9557a2f82fae850c	27/01/2015	Brussels, Belgium	Corporate governance	822719415555-79	GML Limited	Cabinet members of Commissioner Věra Jourová		
Eduard Hulicius	97f4f080c2528dbfe218e69bc07db8bf	26/01/2015	Brussels, Belgium	Consumer policies and Consumer protection package	79465004946-12	Cerame-Unie	Cabinet members of Commissioner Věra Jourová		
Simona Constantin	ad8335352a16544dcafb17cabe4786bb	26/01/2015	Brussels, Belgium	European energy market, Consumer protection aspects	4271427696-87	EURELECTRIC aisbl	Cabinet members of Commissioner Věra Jourová		
Kevin O'Connell	a5f87f871b04f59c208e0374cc21c1c0	22/01/2015	Brussels, Belgium	Data protection	7721359944-96	IBM Corporation	Cabinet members of Commissioner Věra Jourová		
Renate Nikolay	4e01d7871482c0c7612fe40010d44576	22/01/2015	Brussels, Belgium	Digital Single Market	95574664768-90	Verband der Automobilindustrie	Cabinet members of Commissioner Věra Jourová		
Daniel Braun	00dfa46ab444c8a75682fbcc9cf51ae7	21/01/2015	Brussels, Belgium	Fundamental rights, racism and xenophobia	242965915711-62	ESLI European Shoah Legacy Institute	Cabinet members of Commissioner Věra Jourová		
Kevin O'Connell	4a1b7161a1d85c51741014ded3545413	20/01/2015	Brussels, Belgium	Data protection	99346002337-55	Hewlett-Packard	Cabinet members of Commissioner Věra Jourová		
Daniel Braun	db9e600230e2e0152e2f198d717e08be	20/01/2015	Brussels, Belgium	Fundamental rights	11063928073-34	Amnesty International European Institutions Office	Cabinet members of Commissioner Věra Jourová		
Kevin O'Connell	a36b95492b1053278f25e95dc7e3dd45	09/01/2015	Brussels, Belgium	Data protection	57305017757-64	Center for Democracy & Technology	Cabinet members of Commissioner Věra Jourová		
Eduard Hulicius	a905329fc1eadbe3e681e9fa227b5666	08/01/2015	Brussels, Belgium	Product advertising	1074382679-01	AIM European Brands Association	Cabinet members of Commissioner Věra Jourová		
Eduard Hulicius	c36af53e6b9eeb4675e92dc6b7aedef1	08/01/2015	Brussels, Belgium	Consumers of domestic utilities	54829912208-85	European Federation of Local Energy Companies	Cabinet members of Commissioner Věra Jourová		
Renate Nikolay	70a4eb8f08f4cc8cbe6ba2cbb4b08407	18/12/2014	Brussels, Belgium	Consumers protection	46856801604-90	OXFAM INTERNATIONAL EU ADVOCACY OFFICE	Cabinet members of Commissioner Věra Jourová		
Kevin O'Connell	4965283aa006c8b42269f936ac9faf86	08/12/2014	Brussels, Belgium	Data protection reform	58885623470-56	Yahoo! EMEA Ltd.	Cabinet members of Commissioner Věra Jourová		
Eduard Hulicius	fac4ae3c86628bc28648bb8266a3c8fc	05/12/2014	Brussels, Belgium	Consumer protection	016371114093-01	Toy Industries of Europe	Cabinet members of Commissioner Věra Jourová		
Eduard Hulicius	83c356d7d0fcbad3106d050810741d6e	02/12/2014	Brussels, Belgium	Data protection	03181945560-59	Google	Cabinet members of Commissioner Věra Jourová		
Eduard Hulicius	3fc22548ac530d77ea121b096f65eebb	01/12/2014	Brussels, Belgium	Product safety	971446611568-25	Knauf Insulation	Cabinet members of Commissioner Věra Jourová		
Commissioner Tibor Navracsics	db17f29d32af5988a4bdca2d28c97620	24/03/2015	Brussels	Digital Education	0801162959-21	Microsoft Corporation			
Commissioner Tibor Navracsics	5bc1c2f630da1efa0658342a3bcaf2f6	23/03/2015	Brussels	Higher Education policy	032693316451-70	The Russell Group of Universities			
Commissioner Tibor Navracsics	4b361f1a4e6df65be7538da1402d3cdf	05/03/2015	Brussels	The meeting will address current and future cooperation between DG EAC and European Schoolnet (EUN); more specifically, what will be the vision and priorities for eTwinning and the School Education Gateway (SEG).	977907115068-02	EUN Partnership aisbl			
Commissioner Tibor Navracsics	92568f6dfd57f06d5bf83a5732fbe057	03/03/2015	Brussels	Digital Single Market, Copyright	53905947933-43	European Digital Media Association			
Commissioner Tibor Navracsics	f044b1132a786d02af9f861f1df7bd17	03/03/2015	Brussels	The situation of minority languages in Europe	331310413543-50	Federal Union of European Nationalities			
Commissioner Tibor Navracsics	781ce51abadf027eed314c3511ea8763	17/02/2015	Brussels	Introductory meeting + copyright law	798071410461-65	PRS for Music			
Commissioner Tibor Navracsics	0a3aac9270716f3c28b656728244c8b2	03/02/2015	Brussels	Introductory meeting and areas of common interests	707551412661-80	European Jewish Association			
Commissioner Tibor Navracsics	1d202d808c0417a94e90dbcb9033a784	29/01/2015	Brussels	Minority languages, Multilingualism, Copyright	366117914426-10	Amazon Europe Core SARL			
Commissioner Tibor Navracsics	ef50ffeff0fd247d77ab1ee881944860	29/01/2015	Brussels	Higher Education policy	654456115787-63	Magyar Rektori Konferencia			
Commissioner Tibor Navracsics	dac8d70feccb1c11610c0910338cacf7	27/01/2015	Brussels, Belgium	Introductory meeting, exchange of views and priorities for youth policy 2015	43251547769-22	European Youth Forum			
Commissioner Tibor Navracsics	0660716b309892b5fd58b0caeb7ca6b2	27/01/2015	Brussels	Copyright	192208015291-09	European Union National Institutes for Culture			
Commissioner Tibor Navracsics	4abf23fedfaac1ffc560843c0ee1f674	22/01/2015	Brussels	Cooperation in Higher education	232569310146-44	German Rectors' Conference			
Commissioner Tibor Navracsics	9397173e02d227828aa348e3d40298de	20/01/2015	Brussels	Meeting with GE	4016736872-59	General Electric Company			
Commissioner Tibor Navracsics	71d9de350177ce8a861e35345dc7af16	19/01/2015	Brussels	Copyright	829208810503-45	Société des Auteurs, Compositeurs et Editeurs de Musique			
Commissioner Tibor Navracsics	4681bc7dc36c640dd3222a70b71e8b27	12/01/2015	Brussels	Introductory meeting	859389815176-35	European Union Youth Orchestra			
Commissioner Tibor Navracsics	1fc1ddd2756c173beaff38973536baa2	11/12/2014 (Cancelled)	Brussels	European Memory and Conscience	571941915067-62	Platform of European Memory and Conscience			
Commissioner Tibor Navracsics	acd0187ce0094c78b0f54f4c7ab095c3	09/12/2014	Brussels	Exchange of views and priorities for the culture sector 2015	37937886834-69	European Magazine Media Association			
Commissioner Tibor Navracsics	83e2c9efdbd13ebc1f3c48bf6f97ccf7	09/12/2014	Brussels	Exchange of views and priorities for the culture sector 2015	39548622730-55	European Festivals Association			
Commissioner Tibor Navracsics	f8ce62b89bf933f8ed2641c2f50bf2f5	08/12/2014	Brussels	Exchange of views and priorities for the culture sector 2015	11331097409-13	Culture Action Europe			
Commissioner Tibor Navracsics	dce892187b1fdb995c1de65411749e02	04/12/2014	Brussels, Belgium	Home-grown players (HGP) in leagues around Europe	558995415125-02	FIBA Europe e.V.			
Commissioner Tibor Navracsics	80382f7e24a644ea38f816b050a5004b	04/12/2014	Brussels, Belgium	Education	0014082722-83	EUROCHAMBRES – Association of European Chambers of Commerce and Industry			
Commissioner Tibor Navracsics	a01f22f297b6580b91f34202c8906be6	02/12/2014	Brussels	Exchange of views and priorities for the culture sector 2015	36529354479-57	Groupement Européen des Sociétés d'Auteurs et Compositeurs			
Patricia Reilly	69e877781a67a266afd3bae4920d6720	21/04/2015	Brussels	Science advice to policy	64879142323-90	European Chemical Industry Council	Cabinet members of Commissioner Tibor Navracsics		
Patricia Reilly	6bbe1b4a1d797fe4c0cafa43d49bb939	26/03/2015	Brussels	EU Alcohol Strategy	701994315052-90	SABMiller Europe AG	Cabinet members of Commissioner Tibor Navracsics		
Jonathan Michael Hill	18cf0c7742a8ecbb71dd9221513ab6e8	19/03/2015	Brussels	Fundamental Rights in Education	11977456675-84	ILGA-Europe	Cabinet members of Commissioner Tibor Navracsics		
Christine Mai	b1989100a244432f3f88383128504575	19/03/2015	Brussels, Belgium	Youth policy, priorities for 2015	43251547769-22	European Youth Forum	Cabinet members of Commissioner Tibor Navracsics		
Patricia Reilly	7be8d23ea5e863350c8229a8713b1007	17/03/2015	Brussels	Presentation of the work of Child and Youth Finance International	113702513447-03	Child and Youth Finance International	Cabinet members of Commissioner Tibor Navracsics		
Adrienn Kiraly Jonathan Michael Hill	37940cb483a6ee54795141bada7ba87c	16/03/2015	Brussels	Walt Disney's investement in Europe; Digital Single Market	256463315409-35	The Walt Disney Company Benelux BVBA	Cabinet members of Commissioner Tibor Navracsics		
Christine Mai	ee2e75d8268c57a4b62aab9e20c3486a	13/03/2015	Brussels	Youth policy	5189667783-94	Zentralverband des Deutschen Handwerks e.V.	Cabinet members of Commissioner Tibor Navracsics		
Patricia Reilly	4369f3fd78f94dca48a3c05d64046702	12/03/2015	Brussels	Introductory meeting. Discussion of D.S.M.	391575415702-29	Springer Science+Business Media Deutschland GmbH	Cabinet members of Commissioner Tibor Navracsics		
Jonathan Michael Hill	057d3816ab8d6f5b04a2d0c995d788b6	12/03/2015	Brussels	Digital Single Market	12383069253-19	IMPALA	Cabinet members of Commissioner Tibor Navracsics		
Rodrigo Ballester	f64201552a0f9d0fdd322dad445643e8	06/03/2015	Brussels	Inclusive Education in the Europe 2020 strategy	849607914394-57	Lumos Foundation	Cabinet members of Commissioner Tibor Navracsics		
Adrienn Kiraly	df98e61345a6e1b1f6fec7fa177a34f5	05/03/2015	Brussels	Operational cooperation between EUNIC and the Cabinet	192208015291-09	European Union National Institutes for Culture	Cabinet members of Commissioner Tibor Navracsics		
Adrienn Kiraly	741948a9f2dfd0bb63c5b29f765e4267	04/03/2015	Brussels	Debriefing on Europeana project	770007812381-96	Europeana Foundation	Cabinet members of Commissioner Tibor Navracsics		
Szabolcs Horvath	35dd85b3b806359ea87c39e58eea3196	04/03/2015	Brussels	Presentation of the association, its messages and objectives	633009613835-17	European Healthy Lifestyle Alliance	Cabinet members of Commissioner Tibor Navracsics		
Patricia Reilly	81196f2158f368a8cab495a521327ea3	04/03/2015	Brussels	Microsoft education programmes	0801162959-21	Microsoft Corporation	Cabinet members of Commissioner Tibor Navracsics		
Christine Mai	dcfd2d4cc77a910dca6fe8aa46f9d835	04/03/2015 (Cancelled)	Brussels, Belgium	Youth policy	5189667783-94	Zentralverband des Deutschen Handwerks e.V.	Cabinet members of Commissioner Tibor Navracsics		
Jonathan Michael Hill	9d4ac9a77b7f897099e665282131be62	04/03/2015	Brussels	EU Policy on Education and Skills	3978240953-79	BusinessEurope	Cabinet members of Commissioner Tibor Navracsics		
Szabolcs Horvath	ce3f76c92ee3bce26d62038de2565e37	03/03/2015	Brussels	Presentation of the activities and objectives of ESSA	17258866933-24	European Sports Security Association	Cabinet members of Commissioner Tibor Navracsics		
Adrienn Kiraly	128f2f29dd62e67ef0900c67fc810339	03/03/2015	Brussels	Digital Single Market, Copyright	53905947933-43	European Digital Media Association	Cabinet members of Commissioner Tibor Navracsics		
Jonathan Michael Hill	883baebc71d2b7b73665296f5d66bb5c	03/03/2015	Brussels	Discussion on areas of common interest	434027116304-07	European Festivals Association	Cabinet members of Commissioner Tibor Navracsics		
Szabolcs Horvath	38956c77e12c349becedaaf61b94fb0b	03/03/2015	Brussels	Erasmus+ assessment of the first call; Data protection; European Evening of Sport (6 May); European Games	827752410362-51	European Olympic Committees EU Office	Cabinet members of Commissioner Tibor Navracsics		
Szabolcs Horvath	70199739201c01ac9a333d444f0ae66e	24/02/2015	Brussels, Belgium	Healthy lifestyle action of Coca-Cola	00475641564-03	The Coca-Cola Company	Cabinet members of Commissioner Tibor Navracsics		
Jonathan Michael Hill	5938f91d8d81b7b7296db39e9c3cfef2	24/02/2015	Brussels	Discussion of areas of common interest	93288301615-56	European Broadcasting Union / Union Européenne de Radio-télévision AISBL	Cabinet members of Commissioner Tibor Navracsics		
Jonathan Michael Hill	7b9c319d2a8ea1ca92a21243298473dd	17/02/2015	Brussels	Discussion of areas of common interest	256812113944-37	Future for Religious Heritage	Cabinet members of Commissioner Tibor Navracsics		
Jonathan Michael Hill	54b3dd413e0f0bf7385ebd579599aace	17/02/2015	Brussels	Introductory meeting + copyright law	798071410461-65	PRS for Music	Cabinet members of Commissioner Tibor Navracsics		
Szabolcs Horvath	6a44a7b14882584c7d960d35f005c13f	16/02/2015	Brussels, Belgium	Preparation of a meeting between Commissioner Tibor Navracsics and Mr Karl-Heinz Rummenigge, chairman of the European Club Association	unregistered	European Club Association	Cabinet members of Commissioner Tibor Navracsics		
Adrienn Kiraly	26e5666fd80a16f124d195a45fbfd67a	04/02/2015	Brussels	Copyright	36529354479-57	Groupement Européen des Sociétés d'Auteurs et Compositeurs	Cabinet members of Commissioner Tibor Navracsics		
Christine Mai	8b780454056a3f80e2fee6bdcd1c7afc	04/02/2015	Brussels, Belgium	Education, skills, youth policy	72390466359-39	Barclays PLC	Cabinet members of Commissioner Tibor Navracsics		
Szabolcs Horvath	0716f4835a95a6948762d9d36ea62a38	04/02/2015	Brussels, Belgium	Introductory meeting	39217046408-27	Union of European Football Associations	Cabinet members of Commissioner Tibor Navracsics		
Szabolcs Horvath	73919f255871077ed132da337549fda4	03/02/2015	Brussels, Belgium	Innovating projects in the field of sport and education	154520212804-17	Comitato Olimpico Nazionale Italiano	Cabinet members of Commissioner Tibor Navracsics		
Adrienn Kiraly	147bbc0ebab00c70436f12f7584fbaa7	03/02/2015	Brussels	Introductory meeting and areas of common interests	707551412661-80	European Jewish Association	Cabinet members of Commissioner Tibor Navracsics		
Adrienn Kiraly	7603b59e0e0824b124893222a54c6144	29/01/2015	Brussels	Copyright	98356852465-08	International Association of Scientific, Technical and Medical Publishers	Cabinet members of Commissioner Tibor Navracsics		
Adrienn Kiraly	ab333b298c1b525c163964c696e664e1	29/01/2015	Brussels	Minority languages, Multilingualism, Copyright	366117914426-10	Amazon Europe Core SARL	Cabinet members of Commissioner Tibor Navracsics		
Rodrigo Ballester	9d78e0bd11228f14f4e5981cec675f87	28/01/2015	Brussels, Belgium	ET 2020 Framework	494613715191-85	Cisco Systems Inc.	Cabinet members of Commissioner Tibor Navracsics		
Rodrigo Ballester	9d78e0bd11228f14f4e5981cec675f87	28/01/2015	Brussels, Belgium	ET 2020 Framework	73952083693-15	Schuman Associates	Cabinet members of Commissioner Tibor Navracsics		
