RecordId,MeetingId,department,minister,policy_level,portfolio,date,organisation,organisation_alias,organisation_type,purpose
319,98,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/06/2014,Royal Bank of Scotland,Royal Bank of Scotland,Companies and groups,To discuss higher education
320,98,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/06/2014,University of Law,University of Law,Academic institutions,To discuss higher education
321,98,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/06/2014,National Centre for Universities and  Business,National Centre for Universities and Business,Companies and groups,To discuss higher education
322,98,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/06/2014,Confederation of British Industry,Confederation of British Industry,Trade association,To discuss higher education
323,98,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/06/2014,Cranfield University,Cranfield University,Academic institutions,To discuss higher education
324,98,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/06/2014,Universities UK,Universities UK,Academic institutions,To discuss higher education
325,98,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/06/2014,Higher Education Commission,Higher Education Commission,Academic institutions,To discuss higher education
326,98,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/06/2014,Office for Fair Access,Office for Fair Access,NGO,To discuss higher education
327,99,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/06/2014,Lipton Rogers,Lipton Rogers,Companies and groups,To discuss higher education
328,100,"Business, Innovation and Skills",Rt Hon David Willetts MP,Minister of State,(Universities and Science),01/06/2014,University of Manchester,University of Manchester,Academic institutions,To discuss research
329,101,"Business, Innovation and Skills",Lord Livingston,Minister of State,(Trade and Investment),01/04/2014,Ernst & Young,Ernst & Young,Companies and groups,Discuss trade and investment
330,102,"Business, Innovation and Skills",Lord Livingston,Minister of State,(Trade and Investment),01/04/2014,Hobbs Valves,Hobbs Valves,Companies and groups,Discuss trade and investment
331,103,"Business, Innovation and Skills",Lord Livingston,Minister of State,(Trade and Investment),01/04/2014,Biocatalyst,Biocatalyst,Companies and groups,Discuss trade and investment
332,104,"Business, Innovation and Skills",Lord Livingston,Minister of State,(Trade and Investment),01/04/2014,Seda,Seda,Academic institutions,Discuss trade and investment
333,105,"Business, Innovation and Skills",Lord Livingston,Minister of State,(Trade and Investment),01/04/2014,Penderyn Whiskey,Penderyn Whiskey,Companies and groups,Discuss trade and investment
334,106,"Business, Innovation and Skills",Lord Livingston,Minister of State,(Trade and Investment),01/04/2014,EEF,EEF - The Manufacturersﾒ Organisation,Companies and groups,Discuss trade and investment
335,106,"Business, Innovation and Skills",Lord Livingston,Minister of State,(Trade and Investment),01/04/2014,Confederation of British Industry,Confederation of British Industry,Trade association,Discuss trade and investment
336,106,"Business, Innovation and Skills",Lord Livingston,Minister of State,(Trade and Investment),01/04/2014,British Chamber of Commerce,British Chambers of Commerce,Trade association,Discuss trade and investment
337,106,"Business, Innovation and Skills",Lord Livingston,Minister of State,(Trade and Investment),01/04/2014,Institute of Directors,Institute of Directors,Companies and groups,Discuss trade and investment
338,106,"Business, Innovation and Skills",Lord Livingston,Minister of State,(Trade and Investment),01/04/2014,Federation of Small Businesses,Federation of Small Businesses,Trade association,Discuss trade and investment
339,106,"Business, Innovation and Skills",Lord Livingston,Minister of State,(Trade and Investment),01/04/2014,Forum of Private Business,Forum of Private Business,Trade association,Discuss trade and investment
340,107,"Business, Innovation and Skills",Lord Livingston,Minister of State,(Trade and Investment),01/04/2014,MLM Consulting Engineers Ltd & Murphy Philipps Associates,MLM Consulting Engineers Ltd,Companies and groups,Discuss trade and investment
341,107,"Business, Innovation and Skills",Lord Livingston,Minister of State,(Trade and Investment),01/04/2014,MLM Consulting Engineers Ltd & Murphy Philipps Associates,Murphy Philipps Associates,Companies and groups,Discuss trade and investment
342,108,"Business, Innovation and Skills",Lord Livingston,Minister of State,(Trade and Investment),01/04/2014,Metail,Metail,Companies and groups,Discuss trade and investment
343,109,"Business, Innovation and Skills",Lord Livingston,Minister of State,(Trade and Investment),01/04/2014,Barclays,Barclays,Companies and groups,"Discuss trade, investment & Economic Affairs"
344,110,"Business, Innovation and Skills",Lord Livingston,Minister of State,(Trade and Investment),01/04/2014,Which?,Which?,Companies and groups,Discuss trade and investment
345,111,"Business, Innovation and Skills",Lord Livingston,Minister of State,(Trade and Investment),01/04/2014,Delta Display Holdings,Delta Display Holdings Ltd,Companies and groups,Discuss trade and investment
346,111,"Business, Innovation and Skills",Lord Livingston,Minister of State,(Trade and Investment),01/04/2014,Gemfields plc,Gemfields Plc,Companies and groups,Discuss trade and investment
347,111,"Business, Innovation and Skills",Lord Livingston,Minister of State,(Trade and Investment),01/04/2014,Impello,Impello Plc,Companies and groups,Discuss trade and investment
348,111,"Business, Innovation and Skills",Lord Livingston,Minister of State,(Trade and Investment),01/04/2014,BTG PLC,BTG PLC,Companies and groups,Discuss trade and investment
349,111,"Business, Innovation and Skills",Lord Livingston,Minister of State,(Trade and Investment),01/04/2014,Deloitte,Deloitte,Companies and groups,Discuss trade and investment
350,111,"Business, Innovation and Skills",Lord Livingston,Minister of State,(Trade and Investment),01/04/2014,Allocate Software,Allocate Software Plc,Companies and groups,Discuss trade and investment
351,111,"Business, Innovation and Skills",Lord Livingston,Minister of State,(Trade and Investment),01/04/2014,Baringa Partners,Baringa Partners LLP,Companies and groups,Discuss trade and investment
352,111,"Business, Innovation and Skills",Lord Livingston,Minister of State,(Trade and Investment),01/04/2014,Scolmore International,Scolmore International,Companies and groups,Discuss trade and investment
353,111,"Business, Innovation and Skills",Lord Livingston,Minister of State,(Trade and Investment),01/04/2014,The Reflex Group,The Reflex Group,Companies and groups,Discuss trade and investment
354,111,"Business, Innovation and Skills",Lord Livingston,Minister of State,(Trade and Investment),01/04/2014,Caxton FX,Caxton FX,Companies and groups,Discuss trade and investment
355,111,"Business, Innovation and Skills",Lord Livingston,Minister of State,(Trade and Investment),01/04/2014,Perform Group,Perform Group Plc,Companies and groups,Discuss trade and investment
356,111,"Business, Innovation and Skills",Lord Livingston,Minister of State,(Trade and Investment),01/04/2014,Intelligent Energy Holdings,Intelligent Energy Holdings Plc,Companies and groups,Discuss trade and investment
357,111,"Business, Innovation and Skills",Lord Livingston,Minister of State,(Trade and Investment),01/04/2014,Kelway Holdings,Kelway Holdings Limited,Companies and groups,Discuss trade and investment
358,111,"Business, Innovation and Skills",Lord Livingston,Minister of State,(Trade and Investment),01/04/2014,Kobalt Music Group,Kobalt Music Group Limited,Companies and groups,Discuss trade and investment
359,112,"Business, Innovation and Skills",Lord Livingston,Minister of State,(Trade and Investment),01/04/2014,Goldsmiths Solicitors,Goldsmiths Solicitors,Companies and groups,Discuss trade and investment
360,112,"Business, Innovation and Skills",Lord Livingston,Minister of State,(Trade and Investment),01/04/2014,Business Council for Africa UK,Business Council for Africa,Companies and groups,Discuss trade and investment
361,112,"Business, Innovation and Skills",Lord Livingston,Minister of State,(Trade and Investment),01/04/2014,DLA Piper UK,DLA Piper UK,Companies and groups,Discuss trade and investment
362,112,"Business, Innovation and Skills",Lord Livingston,Minister of State,(Trade and Investment),01/04/2014,Lonrho,Lonrho,Companies and groups,Discuss trade and investment
363,112,"Business, Innovation and Skills",Lord Livingston,Minister of State,(Trade and Investment),01/04/2014,Africa Justice Foundation,Africa Justice Foundation,NGO,Discuss trade and investment
364,112,"Business, Innovation and Skills",Lord Livingston,Minister of State,(Trade and Investment),01/04/2014,Smith & Ouzman Ltd,Smith & Ouzman Ltd,Companies and groups,Discuss trade and investment
365,112,"Business, Innovation and Skills",Lord Livingston,Minister of State,(Trade and Investment),01/04/2014,Development and Management Strategies limited,Development and Management Strategies limited,Companies and groups,Discuss trade and investment
366,112,"Business, Innovation and Skills",Lord Livingston,Minister of State,(Trade and Investment),01/04/2014,BHM/Dawnus Joint Venture,BHM/Dawnus Joint Venture,Companies and groups,Discuss trade and investment
367,112,"Business, Innovation and Skills",Lord Livingston,Minister of State,(Trade and Investment),01/04/2014,Echo Sourcing,Echo Sourcing,Companies and groups,Discuss trade and investment
368,112,"Business, Innovation and Skills",Lord Livingston,Minister of State,(Trade and Investment),01/04/2014,Hyperion Insurance Group,Hyperion Insurance Group,Companies and groups,Discuss trade and investment
369,112,"Business, Innovation and Skills",Lord Livingston,Minister of State,(Trade and Investment),01/04/2014,Burbidge Capital Limited,Burbidge Capital Limited,Companies and groups,Discuss trade and investment
370,112,"Business, Innovation and Skills",Lord Livingston,Minister of State,(Trade and Investment),01/04/2014,Howden Broking Group,Howden Broking Group,Companies and groups,Discuss trade and investment
371,112,"Business, Innovation and Skills",Lord Livingston,Minister of State,(Trade and Investment),01/04/2014,Platinum Integrations,Platinum Integrations,Companies and groups,Discuss trade and investment
372,112,"Business, Innovation and Skills",Lord Livingston,Minister of State,(Trade and Investment),01/04/2014,Business Council for Africa,Business Council for Africa,Companies and groups,Discuss trade and investment
373,112,"Business, Innovation and Skills",Lord Livingston,Minister of State,(Trade and Investment),01/04/2014,Quant International Property Group,Quant International Property Group,Companies and groups,Discuss trade and investment
374,112,"Business, Innovation and Skills",Lord Livingston,Minister of State,(Trade and Investment),01/04/2014,SABMiller,SABMiller,Companies and groups,Discuss trade and investment
375,112,"Business, Innovation and Skills",Lord Livingston,Minister of State,(Trade and Investment),01/04/2014,Africa Practice,Africa Practice,Professional consultants,Discuss trade and investment
376,112,"Business, Innovation and Skills",Lord Livingston,Minister of State,(Trade and Investment),01/04/2014,FBN Capital,FBN Capital,Companies and groups,Discuss trade and investment
377,112,"Business, Innovation and Skills",Lord Livingston,Minister of State,(Trade and Investment),01/04/2014,Dawnus Construction Ltd,Dawnus Construction Ltd,Companies and groups,Discuss trade and investment
378,112,"Business, Innovation and Skills",Lord Livingston,Minister of State,(Trade and Investment),01/04/2014,BCA W&S,Business Council for Africa,Companies and groups,Discuss trade and investment
379,112,"Business, Innovation and Skills",Lord Livingston,Minister of State,(Trade and Investment),01/04/2014,Howden Broking Group,Howden Broking Group,Companies and groups,Discuss trade and investment
380,112,"Business, Innovation and Skills",Lord Livingston,Minister of State,(Trade and Investment),01/04/2014,King's College London,King's College London,Academic institutions,Discuss trade and investment
381,112,"Business, Innovation and Skills",Lord Livingston,Minister of State,(Trade and Investment),01/04/2014,Portland Group,Portland Group,Companies and groups,Discuss trade and investment
382,113,"Business, Innovation and Skills",Lord Livingston,Minister of State,(Trade and Investment),01/05/2014,CRW Shower Equipment Co Ltd of Gaoming Foshan,CRW Shower Equipment Co Ltd of Gaoming Foshan,Companies and groups,Discuss trade and investment
383,113,"Business, Innovation and Skills",Lord Livingston,Minister of State,(Trade and Investment),01/05/2014,Qingdao Engineers Association,Qingdao Engineers Association,Trade association,Discuss trade and investment
384,113,"Business, Innovation and Skills",Lord Livingston,Minister of State,(Trade and Investment),01/05/2014,Fujian Senyuan Co,Fujian Senyuan Co,Companies and groups,Discuss trade and investment
385,113,"Business, Innovation and Skills",Lord Livingston,Minister of State,(Trade and Investment),01/05/2014,Mylin Holding Group Co,Mylin Holding Group Co,Companies and groups,Discuss trade and investment
386,113,"Business, Innovation and Skills",Lord Livingston,Minister of State,(Trade and Investment),01/05/2014,Wafa Tea Co,Wafa Tea Co,Companies and groups,Discuss trade and investment
387,113,"Business, Innovation and Skills",Lord Livingston,Minister of State,(Trade and Investment),01/05/2014,New Silk Road Fashion Organisation,New Silk Road Fashion Organisation,Companies and groups,Discuss trade and investment
388,113,"Business, Innovation and Skills",Lord Livingston,Minister of State,(Trade and Investment),01/05/2014,Zhangguang 101 Hold Group Co,Zhangguang 101 Hold Group Co,Companies and groups,Discuss trade and investment
389,113,"Business, Innovation and Skills",Lord Livingston,Minister of State,(Trade and Investment),01/05/2014,Haoxiangni Jujube Co,Haoxiangni Jujube Co,Companies and groups,Discuss trade and investment
390,113,"Business, Innovation and Skills",Lord Livingston,Minister of State,(Trade and Investment),01/05/2014,EveFashion Garments Co,EveFashion Garments Co,Companies and groups,Discuss trade and investment
391,113,"Business, Innovation and Skills",Lord Livingston,Minister of State,(Trade and Investment),01/05/2014,Shenzhen Beike Biotechnology Co Ltd,Shenzhen Beike Biotechnology Co Ltd,Companies and groups,Discuss trade and investment
392,113,"Business, Innovation and Skills",Lord Livingston,Minister of State,(Trade and Investment),01/05/2014,Riverside Group,Riverside Group,Companies and groups,Discuss trade and investment
393,113,"Business, Innovation and Skills",Lord Livingston,Minister of State,(Trade and Investment),01/05/2014,Shenzhen Acto Culture Technology Group,Shenzhen Acto Culture Technology Group,Companies and groups,Discuss trade and investment
394,113,"Business, Innovation and Skills",Lord Livingston,Minister of State,(Trade and Investment),01/05/2014,China Galaxy Investment Management Company Co Ltd,China Galaxy Investment Management Company Co Ltd,Companies and groups,Discuss trade and investment
395,113,"Business, Innovation and Skills",Lord Livingston,Minister of State,(Trade and Investment),01/05/2014,Xuzhou Coal Mining Group Corporation,Xuzhou Coal Mining Group Corporation,Companies and groups,Discuss trade and investment
396,113,"Business, Innovation and Skills",Lord Livingston,Minister of State,(Trade and Investment),01/05/2014,Shanxi Qingyun Group Co,Shanxi Qingyun Group Co,Companies and groups,Discuss trade and investment
397,113,"Business, Innovation and Skills",Lord Livingston,Minister of State,(Trade and Investment),01/05/2014,China Entrepreneur Club,China Entrepreneur Club,Companies and groups,Discuss trade and investment
398,113,"Business, Innovation and Skills",Lord Livingston,Minister of State,(Trade and Investment),01/05/2014,Shanxi Lu'an Mining Industry Co Ltd,Shanxi Lu'an Mining Industry Co Ltd,Companies and groups,Discuss trade and investment
399,113,"Business, Innovation and Skills",Lord Livingston,Minister of State,(Trade and Investment),01/05/2014,ChinaEquity Group,China Equity Group,Companies and groups,Discuss trade and investment
400,113,"Business, Innovation and Skills",Lord Livingston,Minister of State,(Trade and Investment),01/05/2014,Henan Guoji Industry Group Co,Henan Guoji Industry Group Co,Companies and groups,Discuss trade and investment
401,113,"Business, Innovation and Skills",Lord Livingston,Minister of State,(Trade and Investment),01/05/2014,Weidong Group Co,Weidong Group Co,Companies and groups,Discuss trade and investment
402,113,"Business, Innovation and Skills",Lord Livingston,Minister of State,(Trade and Investment),01/05/2014,Luzhou Laojiao Group Co,Luzhou Laojiao Group Co,Companies and groups,Discuss trade and investment
403,113,"Business, Innovation and Skills",Lord Livingston,Minister of State,(Trade and Investment),01/05/2014,Kuntin Investment Management Group Co Ltd,Kuntin Investment Management Group Co Ltd,Companies and groups,Discuss trade and investment
404,113,"Business, Innovation and Skills",Lord Livingston,Minister of State,(Trade and Investment),01/05/2014,Sichuan Yibin Wuliangye Group Co,Sichuan Yibin Wuliangye Group Co,Companies and groups,Discuss trade and investment
405,113,"Business, Innovation and Skills",Lord Livingston,Minister of State,(Trade and Investment),01/05/2014,Shaanxi Clean Energy Development,Shaanxi Clean Energy Development,Companies and groups,Discuss trade and investment
406,113,"Business, Innovation and Skills",Lord Livingston,Minister of State,(Trade and Investment),01/05/2014,Shenzhen Dongjing Investment Co,Shenzhen Dongjing Investment Co,Companies and groups,Discuss trade and investment
407,113,"Business, Innovation and Skills",Lord Livingston,Minister of State,(Trade and Investment),01/05/2014,Guangzhoushi Yao Ban Lan Textile Co,Guangzhoushi Yao Ban Lan Textile Co,Companies and groups,Discuss trade and investment
408,113,"Business, Innovation and Skills",Lord Livingston,Minister of State,(Trade and Investment),01/05/2014,Yantai S&S Science and Technology Co,Yantai S&S Science and Technology Co,Companies and groups,Discuss trade and investment
409,113,"Business, Innovation and Skills",Lord Livingston,Minister of State,(Trade and Investment),01/05/2014,Guangzhou T100 Kids Dress Co,Guangzhou T100 Kids Dress Co,Companies and groups,Discuss trade and investment
410,113,"Business, Innovation and Skills",Lord Livingston,Minister of State,(Trade and Investment),01/05/2014,Shenzhen Sanma Technology Group,Shenzhen Sanma Technology Group,Companies and groups,Discuss trade and investment
411,113,"Business, Innovation and Skills",Lord Livingston,Minister of State,(Trade and Investment),01/05/2014,Tai'an Zhigao Group Co,Tai'an Zhigao Group Co,Companies and groups,Discuss trade and investment
412,113,"Business, Innovation and Skills",Lord Livingston,Minister of State,(Trade and Investment),01/05/2014,Shaanxi MaoYuan Industrial Group Co,Shaanxi MaoYuan Industrial Group Co,Companies and groups,Discuss trade and investment
413,113,"Business, Innovation and Skills",Lord Livingston,Minister of State,(Trade and Investment),01/05/2014,Heilongjiang Yichun Taihe Investment Company,Heilongjiang Yichun Taihe Investment Company,Companies and groups,Discuss trade and investment
414,113,"Business, Innovation and Skills",Lord Livingston,Minister of State,(Trade and Investment),01/05/2014,Shanghai CP Guojian Pharmaceutical Co,Shanghai CP Guojian Pharmaceutical Co,Companies and groups,Discuss trade and investment
415,113,"Business, Innovation and Skills",Lord Livingston,Minister of State,(Trade and Investment),01/05/2014,Zhongneng Huayi International Investment Company,Zhongneng Huayi International Investment Company,Companies and groups,Discuss trade and investment
416,113,"Business, Innovation and Skills",Lord Livingston,Minister of State,(Trade and Investment),01/05/2014,Zhong`ao Holdings Group Co,Zhong`ao Holdings Group Co,Companies and groups,Discuss trade and investment
417,113,"Business, Innovation and Skills",Lord Livingston,Minister of State,(Trade and Investment),01/05/2014,Beijing Shangyang Oriental Environmental Technology Co,Beijing Shangyang Oriental Environmental Technology Co,Companies and groups,Discuss trade and investment
418,113,"Business, Innovation and Skills",Lord Livingston,Minister of State,(Trade and Investment),01/05/2014,Shanghai Xuhui Fenglin Life Science Park Office,Shanghai Xuhui Fenglin Life Science Park Office,Companies and groups,Discuss trade and investment
419,113,"Business, Innovation and Skills",Lord Livingston,Minister of State,(Trade and Investment),01/05/2014,Six Rooms Holdings,Six Rooms Holdings,Companies and groups,Discuss trade and investment
420,113,"Business, Innovation and Skills",Lord Livingston,Minister of State,(Trade and Investment),01/05/2014,Beijing Xinwei Telecommunication Co,Beijing Xinwei Telecommunication Co,Companies and groups,Discuss trade and investment
421,113,"Business, Innovation and Skills",Lord Livingston,Minister of State,(Trade and Investment),01/05/2014,XiKing Culture & Media Co,XiKing Culture & Media Co,Companies and groups,Discuss trade and investment
422,113,"Business, Innovation and Skills",Lord Livingston,Minister of State,(Trade and Investment),01/05/2014,Sichuan Province Tao Tangshi Architectural Design Limited,Sichuan Province Tao Tangshi Architectural Design Limited,Companies and groups,Discuss trade and investment
423,113,"Business, Innovation and Skills",Lord Livingston,Minister of State,(Trade and Investment),01/05/2014,Inner Mongolia Ankuai Logistics Development Co,Inner Mongolia Ankuai Logistics Development Co,Companies and groups,Discuss trade and investment
424,113,"Business, Innovation and Skills",Lord Livingston,Minister of State,(Trade and Investment),01/05/2014,Zhejiang Xianju Pharmaceutical Co,Zhejiang Xianju Pharmaceutical Co,Companies and groups,Discuss trade and investment
425,113,"Business, Innovation and Skills",Lord Livingston,Minister of State,(Trade and Investment),01/05/2014,Hebei Tianshan Industrial Group Co,Hebei Tianshan Industrial Group Co,Companies and groups,Discuss trade and investment
426,113,"Business, Innovation and Skills",Lord Livingston,Minister of State,(Trade and Investment),01/05/2014,iSoftstone (Group) Chengdu Co,iSoftstone (Group) Chengdu Co,Companies and groups,Discuss trade and investment
427,113,"Business, Innovation and Skills",Lord Livingston,Minister of State,(Trade and Investment),01/05/2014,Zhong Zi Hui Jin Investment Management Co,Zhong Zi Hui Jin Investment Management Co,Companies and groups,Discuss trade and investment
428,114,"Business, Innovation and Skills",Lord Livingston,Minister of State,(Trade and Investment),01/05/2014,HSBC,HSBC,Companies and groups,Discuss trade and investment & Economic Affairs
429,115,"Business, Innovation and Skills",Lord Livingston,Minister of State,(Trade and Investment),01/05/2014,British Chambers of Commerce,British Chambers of Commerce,Trade association,Discuss trade and investment
430,116,"Business, Innovation and Skills",Lord Livingston,Minister of State,(Trade and Investment),01/05/2014,A B Sugar,A B Sugar,Companies and groups,Discuss trade and investment
431,116,"Business, Innovation and Skills",Lord Livingston,Minister of State,(Trade and Investment),01/05/2014,Rochester PR Group,Rochester PR Group,Companies and groups,Discuss trade and investment
432,116,"Business, Innovation and Skills",Lord Livingston,Minister of State,(Trade and Investment),01/05/2014,Electronic Media Services Ltd,Electronic Media Services Ltd,Companies and groups,Discuss trade and investment
433,116,"Business, Innovation and Skills",Lord Livingston,Minister of State,(Trade and Investment),01/05/2014,Sondrel Ltd,Sondrel Ltd,Companies and groups,Discuss trade and investment
434,116,"Business, Innovation and Skills",Lord Livingston,Minister of State,(Trade and Investment),01/05/2014,Chinese British Business Council,Chinese British Business Council,Companies and groups,Discuss trade and investment
435,116,"Business, Innovation and Skills",Lord Livingston,Minister of State,(Trade and Investment),01/05/2014,PwC,PriceWaterhouseCoopers,Companies and groups,Discuss trade and investment
436,116,"Business, Innovation and Skills",Lord Livingston,Minister of State,(Trade and Investment),01/05/2014,Matheson & Co Ltd,Matheson & Co Ltd,Companies and groups,Discuss trade and investment
437,116,"Business, Innovation and Skills",Lord Livingston,Minister of State,(Trade and Investment),01/05/2014,British Chambers of Commerce,British Chambers of Commerce,Trade association,Discuss trade and investment
438,116,"Business, Innovation and Skills",Lord Livingston,Minister of State,(Trade and Investment),01/05/2014,Cheung Kong Graduate School of Business,Cheung Kong Graduate School of Business,Academic institutions,Discuss trade and investment
439,116,"Business, Innovation and Skills",Lord Livingston,Minister of State,(Trade and Investment),01/05/2014,London & Partners,London & Partners,Companies and groups,Discuss trade and investment
440,116,"Business, Innovation and Skills",Lord Livingston,Minister of State,(Trade and Investment),01/05/2014,London Export Corporation,London Export Corporation,Companies and groups,Discuss trade and investment
441,116,"Business, Innovation and Skills",Lord Livingston,Minister of State,(Trade and Investment),01/05/2014,HSBC Holdings,HSBC,Companies and groups,Discuss trade and investment
442,116,"Business, Innovation and Skills",Lord Livingston,Minister of State,(Trade and Investment),01/05/2014,British Horseracing Authority,British Horseracing Authority,Companies and groups,Discuss trade and investment
443,116,"Business, Innovation and Skills",Lord Livingston,Minister of State,(Trade and Investment),01/05/2014,Rosenblatt,Rosenblatt,Companies and groups,Discuss trade and investment
444,117,"Business, Innovation and Skills",Lord Livingston,Minister of State,(Trade and Investment),01/05/2014,Financial Conduct Authority,Financial Conduct Authority,NGO,Discuss trade and investment
445,118,"Business, Innovation and Skills",Lord Livingston,Minister of State,(Trade and Investment),01/05/2014,Seacurus,Seacurus,Companies and groups,Discuss trade and investment
446,119,"Business, Innovation and Skills",Lord Livingston,Minister of State,(Trade and Investment),01/05/2014,Techflow Flexibles,Techflow Flexibles,Companies and groups,Discuss trade and investment
447,120,"Business, Innovation and Skills",Lord Livingston,Minister of State,(Trade and Investment),01/05/2014,North East Chambers of Commerce,North East Chambers of Commerce,Trade association,Discuss trade and investment
448,121,"Business, Innovation and Skills",Lord Livingston,Minister of State,(Trade and Investment),01/05/2014,KPMG (UK),KPMG,Companies and groups,Discuss trade and investment
449,121,"Business, Innovation and Skills",Lord Livingston,Minister of State,(Trade and Investment),01/05/2014,Rolls Royce,Rolls Royce,Companies and groups,Discuss trade and investment
450,121,"Business, Innovation and Skills",Lord Livingston,Minister of State,(Trade and Investment),01/05/2014,Imperial College Healthcare NHS Trust,Imperial College Healthcare NHS Trust,NGO,Discuss trade and investment
451,121,"Business, Innovation and Skills",Lord Livingston,Minister of State,(Trade and Investment),01/05/2014,HSBC,HSBC,Companies and groups,Discuss trade and investment
452,121,"Business, Innovation and Skills",Lord Livingston,Minister of State,(Trade and Investment),01/05/2014,Standard Chartered Bank,Standard Chartered Bank,Companies and groups,Discuss trade and investment
453,121,"Business, Innovation and Skills",Lord Livingston,Minister of State,(Trade and Investment),01/05/2014,PriceWaterhouseCoopers,PriceWaterhouseCoopers,Companies and groups,Discuss trade and investment
454,121,"Business, Innovation and Skills",Lord Livingston,Minister of State,(Trade and Investment),01/05/2014,Serco Group,Serco Group,Companies and groups,Discuss trade and investment
455,121,"Business, Innovation and Skills",Lord Livingston,Minister of State,(Trade and Investment),01/05/2014,Royal Dutch Shell,Shell,Companies and groups,Discuss trade and investment
456,121,"Business, Innovation and Skills",Lord Livingston,Minister of State,(Trade and Investment),01/05/2014,University College London,University College London,Academic institutions,Discuss trade and investment
457,121,"Business, Innovation and Skills",Lord Livingston,Minister of State,(Trade and Investment),01/05/2014,Balfour Beatty,Balfour Beatty,Companies and groups,Discuss trade and investment
458,121,"Business, Innovation and Skills",Lord Livingston,Minister of State,(Trade and Investment),01/05/2014,BP,BP,Companies and groups,Discuss trade and investment
459,121,"Business, Innovation and Skills",Lord Livingston,Minister of State,(Trade and Investment),01/05/2014,AMEC,AMEC,Companies and groups,Discuss trade and investment
460,121,"Business, Innovation and Skills",Lord Livingston,Minister of State,(Trade and Investment),01/05/2014,BAe Systems,BAE Systems,Companies and groups,Discuss trade and investment
461,121,"Business, Innovation and Skills",Lord Livingston,Minister of State,(Trade and Investment),01/05/2014,University of South Wales,University of South Wales,Academic institutions,Discuss trade and investment
462,121,"Business, Innovation and Skills",Lord Livingston,Minister of State,(Trade and Investment),01/05/2014,Foster & Partners,Foster & Partners,Companies and groups,Discuss trade and investment
463,121,"Business, Innovation and Skills",Lord Livingston,Minister of State,(Trade and Investment),01/05/2014,Brunswick Group,Brunswick Group,Companies and groups,Discuss trade and investment
464,121,"Business, Innovation and Skills",Lord Livingston,Minister of State,(Trade and Investment),01/05/2014,Carillion,Carillion,Companies and groups,Discuss trade and investment
465,121,"Business, Innovation and Skills",Lord Livingston,Minister of State,(Trade and Investment),01/05/2014,Energy Authority,Energy Authority,Companies and groups,Discuss trade and investment
466,121,"Business, Innovation and Skills",Lord Livingston,Minister of State,(Trade and Investment),01/05/2014,Ruwad Establishment,Ruwad Establishment,Companies and groups,Discuss trade and investment
467,121,"Business, Innovation and Skills",Lord Livingston,Minister of State,(Trade and Investment),01/05/2014,Abu Dhabi Council for Economic Development,Abu Dhabi Council for Economic Development,Municipal / state body,Discuss trade and investment
468,121,"Business, Innovation and Skills",Lord Livingston,Minister of State,(Trade and Investment),01/05/2014,Abu Dhabi Education Council,Abu Dhabi Education Council,Municipal / state body,Discuss trade and investment
469,121,"Business, Innovation and Skills",Lord Livingston,Minister of State,(Trade and Investment),01/05/2014,Khalifa Fund,Khalifa Fund,NGO,Discuss trade and investment
470,121,"Business, Innovation and Skills",Lord Livingston,Minister of State,(Trade and Investment),01/05/2014,Courtyard Gallery,Courtyard Gallery,Municipal / state body,Discuss trade and investment
471,121,"Business, Innovation and Skills",Lord Livingston,Minister of State,(Trade and Investment),01/05/2014,Petals Interiors,Petals Interiors,Companies and groups,Discuss trade and investment
472,121,"Business, Innovation and Skills",Lord Livingston,Minister of State,(Trade and Investment),01/05/2014,Grandeur Interiors,Grandeur Interiors,Companies and groups,Discuss trade and investment
473,121,"Business, Innovation and Skills",Lord Livingston,Minister of State,(Trade and Investment),01/05/2014,Zayed University Dubai & Abu Dhabi,Zayed University Dubai & Abu Dhabi,Academic institutions,Discuss trade and investment
474,121,"Business, Innovation and Skills",Lord Livingston,Minister of State,(Trade and Investment),01/05/2014,Knowledge and Human Development Authority,Knowledge and Human Development Authority,Municipal / state body,Discuss trade and investment
475,121,"Business, Innovation and Skills",Lord Livingston,Minister of State,(Trade and Investment),01/05/2014,Abu Dhabi National Oil Company,Abu Dhabi National Oil Company,Municipal / state body,Discuss trade and investment
476,121,"Business, Innovation and Skills",Lord Livingston,Minister of State,(Trade and Investment),01/05/2014,Easa Saleh Al Gurg Group,Easa Saleh Al Gurg Group,Companies and groups,Discuss trade and investment
477,121,"Business, Innovation and Skills",Lord Livingston,Minister of State,(Trade and Investment),01/05/2014,Dubai Chamber,Dubai Chamber,Trade association,Discuss trade and investment
