Nr,Name,country,Political_group,Party,Institution,mandate,post_mandate_activities,category_pie,category_bar,Brussels_lobbying,Number_activities,Link_source,Link_profile,On_JTR,Link_JTR,Comments,party2,Description,Paid or unpaid (a blank entry means it is not clear),Answers,Certified,Date of Commission authorisation,Based on advice from Ad hoc Ethical Committee?,Link to authorisation in College of Commissioners' minutes,"Link to Commission authorisation documents, released under freedom of information rules. Click on the links to read the documents"
4243,Dirk Sterckx,Belgium,ALDE,Open Flemish Liberals and Democrats,European parliament,MEP,Member of the Supervisory Board of the SNCB (Belgian national railway),Public Service,Public sector,no,2,http://www.etaamb.be/fr/arrete-royal-du-14-octobre-2013_n2013014609.html,,No,,,,Nomited by royal decree,,,,,,,
4243,Dirk Sterckx,Belgium,ALDE,Open Flemish Liberals and Democrats,European parliament,MEP,Director of the Audit Committee of the SNCB,Public Service,Public sector,no,,http://www.etaamb.be/fr/arrete-royal-du-14-octobre-2013_n2013014609.html,,No,,,,,,,,,,,
111017,Dolores García-Hierro Caraballo,Spain,S&D,Socialist Workers' Party,European parliament,MEP,No information available,Unknown,Unknown,Unknown,0,https://www.facebook.com/garciahierrocaraballo/about?section=education&pnref=about,,No,,,PSOE,Confirmed,,,,,,,
1759,Dominique Baudis,France,EPP,Union for a Popular Movement,European parliament,MEP,Deceased in 2014,Other,Retired / Deceased,no,,https://fr.wikipedia.org/wiki/Dominique_Baudis,,No,,,UMP,,,,,,,,
5737,Dominique Vlasto,France,EPP,Union for a Popular Movement,European parliament,MEP,Councillor to the Mayor of Marseille.,Public Service,Elected office,no,,http://mairie.marseille.fr/gouvernement-municipal/elus,,No,,,UMP,,,,,,,,
1191,Doris Pack,Germany,EPP,Christian Democratic Union,European parliament,MEP,"Chairwoman of the Advisory Board of ""A Soul for Europe""",NGO,NGO,no,,http://www.asoulforeurope.eu/about-us/mission-statement,,no,,,,Note: the organisation does state it is a link between civil society and the EP on the issue of culture,,,,,,,
23866,Edit Bauer,Slovakia,EPP,Party of the Hungarian Coalition,European parliament,MEP,Member of the Centre for European Affairs,Academia,Think tank,yes ,,http://www.europeanaffairs.sk/sk/edit-bauer,,no,,,,Double check because she might no longer be active in the oorganisation ,,,,,,,
28155,Edit Herczog,Hungary,S&D,Socialist Party,European parliament,MEP,"Founder, owner and managing director of Vision & Values SPRL",Private Sector,Consultancy,yes ,,http://europe.rd-alliance.org/weaving-internet-of-data-high-level-policy-meeting-speaker-profiles,,no,,,,Vision and Values is a brussels-based Consultancy with large multinational companies as their clients as well institutional clients. Clear CoI here..,,,,,,,
28310,Edite Estrela,Portugal,S&D,Socialist Party,European parliament,MEP,Member of the Portuguese parliament ,Public Service,Elected office,no,,https://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=162,,No,,,,,,,,,,,
96704,Edvard Kožušník,Czech Republic,ECR,Civic Democratic Party,European parliament,MEP,Vice-Chairman of Justus Lipsius & Partners A.S,Private sector,Law firm,yes ,2,https://or.justice.cz/ias/ui/rejstrik-firma.vysledky?subjektId=695463&typ=UPLNY,,no,,,,,,,,,,,
96704,Edvard Kožušník,Czech Republic,ECR,Civic Democratic Party,European parliament,MEP,Director at eStat,Public Service,Public sector,no,,http://www.nasipolitici.cz/cs/politik/598-edvard-kozusnik,,No,,,,,,,,,,,
1405,Edward Mcmillan-Scott,United Kingdom,ALDE,Liberal Democrats,European parliament,MEP,Retired,Other,Retired / Deceased,no,,https://en.wikipedia.org/wiki/Edward_McMillan-Scott,,No,,,LibDem,,,,,,,,
96671,Edward Scicluna,Malta,S&D,Labour Party ,European parliament,MEP,Minister of Finance,Public Service,Elected office,no,,https://mfin.gov.mt/en/the-minister/Pages/default.aspx,,No,,,PvDA,,,,,,,,
4260,Eija-Riitta Korhola,Finland,EPP,National Coalition Party,European parliament,MEP,Member of the Steering Committee of the ICEF Innovation for Cool Earth Forum,Private Sector,Business association,yes,3,http://www.icef-forum.org/what_icef/sc.html,,no,,,,"Not direct lobbying but she's involved in so many ventures that have a key interest in EU regulation, it is hard to believe this is not a revolving door case.",,,,,,,
4260,Eija-Riitta Korhola,Finland,EPP,National Coalition Party,European parliament,MEP,Board Member of Clean Electricity Generation,Private Sector,Company and Group,no,,https://corporateeurope.org/revolving-doors/2015/11/brussels-big-energy-and-revolving-doors-hothouse-climate-change,,no,,,,,,,,,,,
4260,Eija-Riitta Korhola,Finland,EPP,National Coalition Party,European parliament,MEP,Member of the Consultative Commission on Industrial Change (EESC),Public Service,Public sector,no,,http://memberspage.eesc.europa.eu/Search/Details/Person/2033474,,no,,,,,,,,,,,
96814,Elena Basescu,Romania,EPP,Democratic Liberal Party,European parliament,MEP,"Employee of the Romanian Chamber of Commerce and Industry, Department of International Relations ",Private Sector,Business association,yes ,,https://www.antena3.ro/en/romania/elena-basescu-is-done-babysitting-and-she-took-a-job-with-the-chamber-of-commerce-there-is-the-339333.html,,no,,,,At least this is clearly a lobbying job. No apparent conflict of interest.,,,,,,,
96702,Elena Oana Antonescu,Romania,EPP,Democratic Liberal Party,European parliament,MEP,Patron for Fair Trials International,NGO,NGO,yes,,https://www.fairtrials.org/about-us/our-people/patrons/,,yes,http://ec.europa.eu/transparencyregister/public/consultation/displaylobbyist.do?id=302540016347-29,,,,,,,,,,
96881,Elie Hoarau,France,GUE/NGL,Communist Party of Réunion,European parliament,MEP,Retired,Other,Retired / Deceased,no,,,,No,,,PCR,,,,,,,,
4271,Elisabeth Jeggle,Germany,EPP,Christian Democratic Union,European parliament,MEP,Member of the Council in Biberach ,Public Service,Elected office,no,,https://biberach-riss.de/media/custom/1516_1951_1.Democratic PartyF?1450355323,,No,,,,,,,,,,,
1933,Elisabeth Schroedter,Germany,Greens/EFA,Alliance '90/The Greens,European parliament,MEP,Retired,Other,Retired / Deceased,no,,,,No,,,,,,,,,,,
4541,Elizabeth Lynne,United Kingdom,ALDE,Liberal Democrats,European parliament,MEP,No information available,Unknown,Unknown,Unknown,0,,,No,,,LibDems,Confirm,,,,,,,
112071,Emer Costello,Ireland,S&D,Labour Party,European parliament,MEP,Independent EU Policy Adviser for Intelligence in Science (ISC),Private Sector,Consultancy,yes ,,https://www.lobbying.ie/return/3198/emer-costello,,yes,http://ec.europa.eu/transparencyregister/public/consultation/displaylobbyist.do?id=54291344113-16,,,,,,,,,,
96863,Emil Stoyanov,Bulgaria,EPP,Citizens for European Development of Bulgaria,European parliament,MEP,Owner and Chairman of TV Europa,Private Sector,Media,no,,http://www.tvevropa.com/bg/about_us/management,,no,,,GERB,,,,,,,,
96703,Emilie Turunen,Denmark,Greens/EFA,Socialist People's Party,European parliament,MEP,Head of Public Affairs at Nykredit,Private Sector,Company and Group,yes ,,https://corporateeurope.org/revolvingdoorwatch/cases/emilie-turunen,,no,,,,,,,,,,,
4348,Emilio Menéndez Del Valle,Spain,S&D,Socialist Workers' Party,European parliament,MEP,Unknown ,Unknown,Unknown,Unknown,0,,,No,,,PSOE,Confirmed,,,,,,,
28171,Emine Bozkurt,Netherlands,S&D,Labour Party,European parliament,MEP,Member of Board of Advisers of International IDEA (Institute for Democracy and Electoral Assistance),Public Service,Elected office,no,,http://www.idea.int/about-us/board_of_advisers,,No,,,,IDEA is an intergovernmental organisation.,,,,,,,
96830,Eniko Gyori,Hungary,EPP,Fidesz–Hungarian Civic Union,European parliament,MEP,Ambassador of Hungary to Spain,Public Service,Public sector,no,,http://www.mfa.gov.hu/kulkepviselet/ES/es/es_munkatarsak/,,No,,,,,,,,,,,
113883,Erik Bánki,Hungary,EPP,Fidesz-MPP,European parliament,MEP,Member of the Hungarian parliament,Public Service,Elected office,no,,https://goo.gl/eSiH52,,No,,,,,,,,,,,
96817,Erminia Mazzoni,Italy,EPP,New Centre Right ,European parliament,MEP,Lawyer at Studio Legale Mazzoni,Private Sector,Elected office,no,2,https://it.wikipedia.org/wiki/Erminia_Mazzoni,,No,,,,,,,,,,,
96817,Erminia Mazzoni,Italy,EPP,New Centre Right ,European parliament,MEP,Deputy Mayor of Benevento,Public Service,Elected office,no,,http://www.comune.benevento.it/bn2_pagine/amministrazione/SindacoMastella/giunta.php,,No,,,,,,,,,,,
96766,Ernst Strasser,Austria,EPP,Austrian People's Party,European parliament,MEP,"Founder of CCE - Consulting, Coaching and Educating - gesmbh Wien",Private Sector,Consultancy,no,,https://lobbypedia.de/wiki/Ernst_Strasser,,no,,,OVP,Got recently released from his electronic tag after having been involved in the cash for amendmends scandal ,,,,,,,
96953,Estelle Grelier,France,S&D,Socialist Party,European parliament,MEP,Secretary of State for Local Authorities ,Public Service,Elected office,no,,http://www.gouvernement.fr/ministre/estelle-grelier,,No,,,PS,,,,,,,,
28253,Eva Lichtenberger,Austria,Greens/EFA,The Greens–The Green Alternative,European parliament,MEP,No information available,Unknown,Unknown,Unknown,0,,,No,,,,Currently discovering new horizons according to her linked profile. ,,,,,,,
111019,Eva Ortiz Vilella,Spain,EPP,People's Party,European parliament,MEP,Coordinator of the PP in the Valencia region.,Public Service,Political party,no,,http://www.elmundo.es/comunidad-valenciana/2015/07/31/55bb5ecf268e3e90798b4585.html,,No,,,,,,,,,,,
28134,Eva-Britt Svensson,Sweden,GUE/NGL,Left Party,European parliament,MEP,Chairman of PRO in the city of Vaxjo,Public Service,Public sector,no,,http://www.pro.se/Distrikt/Kronoberg/Samorganisationer/Vaxjo-Samorganisation/Foreningar/PRO-Vaxjo/Har-hittar-du-oss/Styrelsen4/,,No,,,,,,,,,,,
34231,Evgeni Kirilov,Bulgaria,S&D,Coalition for Bulgaria,European parliament,MEP,No information available,Unknown,Unknown,Unknown,0,,,No,,,,,,,,,,,
111026,Ewald Stadler,Austria,NI,Alliance for the Future,European parliament,MEP,National Party leader of Rekos,Public Service,Political party,no,2,http://www.rekos.at/cms/index.php/ewald-stadler,,No,,,OVP,,,,,,,,
111026,Ewald Stadler,Austria,NI,Alliance for the Future,European parliament,MEP,Lawyer in Austria and Germany.,Private Sector,Law firm,no,,https://en.wikipedia.org/wiki/Ewald_Stadler,,no,,,,,,,,,,,
118709,Fabrizio Bertot,Italy,EPP,Forza Italia,European parliament,MEP,"Founder of ""Kian for development and culture""",Private Sector,Consultancy,yes ,,http://canavesenews.it/news/rivarolo-canavese-fabrizio-bertot-dalla-politica-canavesana-alla-geopolitica-internazionale/,http://www.fondazionekian.com/?page_id=466&lang=fr,no,,,,"As seen in the picture, Mr. Bertot is President of this foundation. A news article state's he is the founder.",,,,,,,
28280,Filip Kaczmarek,Poland,EPP,Civic Platform,European parliament,MEP,No information available,Unknown,Unknown,Unknown,0,,,No,,,PO,Confirm,,,,,,,
28477,Fiona Hall,United Kingdom,ALDE,Liberal Democrats,European parliament,MEP,Senior Policy Advisor at Rockwool International A/S ,Private Sector,Consultancy,yes ,,https://corporateeurope.org/revolvingdoorwatch/cases/fiona-hall,,yes,http://ec.europa.eu/transparencyregister/public/consultation/displaylobbyist.do?id=2301233810-42,,LibDem,,,,,,,,
96994,Fiorello Provera,Italy,EFD,Northern League,European parliament,MEP,No information available,Unknown,Unknown,Unknown,0,,,No,,,,,,,,,,,
96979,Francesca Balzani,Italy,S&D,Democratic Party,European parliament,MEP,Deputy Mayor of Milan,Public Service,Elected office,no,2,http://www.ilgiorno.it/milano/politica/francesca-balzani-1.1631064,,No,,,PD,,,,,,,,
96979,Francesca Balzani,Italy,S&D,Democratic Party,European parliament,MEP,"Town Councillor for the Budget, Heritage and Taxes at the Municipality of Milan",Public Service,Elected office,no,,http://www.ilgiorno.it/milano/politica/francesca-balzani-1.1631064,,No,,,PD,,,,,,,,
116823,Francesca Barracciu,Italy,S&D,Democratic Party,European parliament,MEP,No information available; Currently under investigation by the public prosecutor,Unknown,Unknown,Unknown,0,https://it.wikipedia.org/wiki/Francesca_Barracciu,,No,,,,Could not find proof of imrpisonment ,,,,,,,
96887,Francesco De Angelis,Italy,S&D,Democratic Party,European parliament,MEP,President of a public economic industrial development consortium in Frisonone ,Public Service,Public sector,no,,http://www.asifrosinone.com/amministrazione-trasparente/francesco-de-angelis-presidente,,No,,,PD,,,,,,,,
997,Francesco Enrico Speroni,Italy,EFD,Northern League,European parliament,MEP,No information available,Unknown,Unknown,Unknown,0,https://it.wikipedia.org/wiki/Francesco_Speroni,,No,,,,No longer a MP,,,,,,,
118710,Franco Bonanini,Italy,NI,Democratic Party,European parliament,MEP,Sentenced to 10 years of prison for the mismanagement of public funds in the Cinque Terra project,Other,Prison,no,,http://www.cittadellaspezia.com/La-Spezia/Politica/Il-day-after-una-citta-col-fiato-220425.aspx,,No,,,,Appears to have been arrested on the 3rd of November.,,,,,,,
118999,Franco Frigo,Italy,S&D,Democratic Party,European parliament,MEP,No information available,Unknown,Unknown,Unknown,0,https://it.wikipedia.org/wiki/Franco_Frigo,,No,,,,,,,,,,,
96750,François Alfonsi,France,Greens/EFA,Party of the Corsican Nation,European parliament,MEP,President of the European Free Alliance,Public Service,Political party,no,,http://www.e-f-a.org/whos-who/president/,,No,,,,,,,,,,,
28148,Françoise Castex,France,S&D,Socialist Party,European parliament,MEP,No information available,Unknown,Unknown,Unknown,0,,,No,,,,No info available ,,,,,,,
1956,Frank Vanhecke,Belgium,NI,Flemish Interest ,European parliament,MEP,No information available,Unknown,Unknown,Unknown,0,,,No,,,,,,,,,,,
96662,Franziska Katharina Brantner,Germany,Greens/EFA,Alliance '90/The Greens,European parliament,MEP,Member of the German parliament,Public Service,Elected office,no,,http://www.bundestag.de/abgeordnete18/biografien/B/brantner_franziska/259392,,No,,,,,,,,,,,
97125,Frédéric Daerden,Belgium,S&D,Socialist Party,European parliament,MEP,MP of the Belgian Federal Parliament,Public Service,Elected office,no,2,https://www.lachambre.be/kvvcr/showpage.cfm?section=/depute&language=fr&cfm=cvview54.cfm?key=06731&lactivity=54,,No,,,,,,,,,,,
97125,Frédéric Daerden,Belgium,S&D,Socialist Party,European parliament,MEP,Mayor of the City of Herstal,Public Service,Elected office,no,,https://goo.gl/hPlJ41,,No,,,,,,,,,,,
28463,Frieda Brepoels,Belgium,Greens/EFA,New Flemish Alliance,European parliament,MEP,Mayor of Bilzen ,Public Service,Elected office,no,,http://www.bilzen.be/burgemeester,,No,,,,,,,,,,,
28367,Gabriele Albertini,Italy,EPP,Civic Choice,European parliament,MEP,Italian senator,Public Service,Elected office,no,,https://en.wikipedia.org/wiki/Gabriele_Albertini,,No,,,,,,,,,,,
4293,Gabriele Stauner,Germany,EPP,Christian Social Union,European parliament,MEP,Lecturer at the Munich College of Politics,Academia,University,no,2,http://www.csu-europagruppe.de/seiten/stauner.htm,,no,,,CSU,,,,,,,,
4293,Gabriele Stauner,Germany,EPP,Christian Social Union,European parliament,MEP,Member of the Board of Trustees of the University of Budapest,Academia,University,no,,http://www.csu-europagruppe.de/seiten/stauner.htm,,no,,,,,,,,,,,
96908,Gaston Franco,France,EPP,Union for a Popular Movement,European parliament,MEP,No information available,Unknown,Unknown,Unknown,0,,,No,,,UMP,,,,,,,,
28112,Gay Mitchell,Ireland,EPP,Fine Gael,European parliament,MEP,Member of the Epilepsy Europe Alliance Task force,NGO,NGO,yes ,,https://www.epilepsyallianceeurope.org/epilepsy-alliance-europe-task-force/,,yes,http://ec.europa.eu/transparencyregister/public/consultation/displaylobbyist.do?id=18456627532-50,,,NGO but clearly their concerns lobbying EU institutions ,,,,,,,
96846,George Becali,Romania,NI,Greater Romania Party,European parliament,MEP,President of the Council of Administration of FC Steaua Bucharest,Private Sector,Company and Group,no,,https://ro.wikipedia.org/wiki/George_Becali,,no,,,PRM,Is emrboiled in many controversies but does not appear to be engaged in lobbying activities,,,,,,,
96959,George Lyon,United Kingdom,ALDE,Liberal Democrats,European parliament,MEP,Agri-business Senior Consultant for Hume Brophy ,Private Sector,Business association,yes ,,https://corporateeurope.org/revolvingdoorwatch/cases/george-lyon,,yes,http://ec.europa.eu/transparencyregister/public/consultation/displaylobbyist.do?id=3843982938-44,,LibDem,,,,,,,,
96856,George Sabin Cutas,Romania,S&D,Conservative Party,European parliament,MEP,No information available,Unknown,Unknown,Unknown,0,,,No,,,,Confirm,,,,,,,
124646,Georgios Gkikopoulos,Greece,GUE/NGL,Communist Party of Greece,European parliament,MEP,No information available,Unknown,Unknown,Unknown,0,,,No,,,KKE,No info ,,,,,,,
97011,Georgios Koumoutsakos,Greece,EPP,New Democracy,European parliament,MEP,Member of Hellenic parliament,Public Service,Elected office,no,,http://www.hellenicparliament.gr/en/Vouleftes/Viografika-Stoicheia/?MPId=eaf5c75c-c137-48c0-af4e-a434014f722f,,No,,,ND,,,,,,,,
96900,Georgios Papanikolaou,Greece,EPP,New Democracy,European parliament,MEP,Mayor of Glyfada (suburb of Athens) ,Public Service,Elected office,no,,http://www.glyfada.gr/frontoffice/portal.asp?cpage=NODE&cnode=226,,No,,,ND,,,,,,,,
28572,Georgios Papastamkos,Greece,EPP,New Democracy,European parliament,MEP,Retired,Other,Retired / Deceased,no,,https://goo.gl/46Majm,,No,,,ND,,,,,,,,
97008,Georgios Stavrakakis,Greece,S&D,Socialist Movement,European parliament,MEP,Deceased in February 2015,Other,Retired / Deceased,no,,https://goo.gl/ffrKRM,,No,,,,,,,,,,,
28584,Georgios Toussas,Greece,GUE/NGL,Communist Party,European parliament,MEP,No information available,Unknown,Unknown,Unknown,0,https://fr.wikipedia.org/wiki/Patrice_Tirolien,,No,,,,No longer a mayor of his home time ,,,,,,,
96758,Gerald Häfner,Germany,Greens/EFA,Alliance '90/The Greens,European parliament,MEP,Dean of the Social Sciences Section of the Goetheanum,Academia,University,no,,http://sozial.goetheanum.org/about-us/structure/,,no,,,,,,,,,,,
96996,Giancarlo Scottà,Italy,EFD,Lega Nord,European parliament,MEP,Teacher in a high school ,Academia,University,no,,https://www.facebook.com/giancarlo.scotta.9/about?lst=598385536%3A100005059922847%3A1484843937&section=education&pnref=about,,no,,,,No longer mayor of Veneto,,,,,,,
36396,Gianluca Susta,Italy,S&D,Democratic Party,European parliament,MEP,Italian senator,Public Service,Elected office,no,,http://www.senato.it/leg/17/BGT/Schede/Attsen/00029187.htm,,No,,,PD,,,,,,,,
4398,Gianni Vattimo,Italy,ALDE,Italy of Values,European parliament,MEP,Philosopher and university professor ,Academia,University,no,,https://en.wikipedia.org/wiki/Gianni_Vattimo,,no,,,,,,,,,,,
2097,Giles Chichester,United Kingdom,ECR,Conservative Party,European parliament,MEP,Retired,Other,Retired / Deceased,no,,https://en.wikipedia.org/wiki/Giles_Chichester,,No,,,,History: http://www.telegRaphael.co.uk/news/2080844/Giles-Chichester-resigns-as-Tory-leader-in-European-parliament-over-expenses-scandal.html,,,,,,,
110987,Gino Trematerra,Italy,EPP,Union of Christian and Centre Democrats,European parliament,MEP,No information available,Unknown,Unknown,Unknown,0,,,No,,,UDC,,,,,,,,
97131,Giommaria Uggias,Italy,ALDE,Italy of Values,European parliament,MEP,Self-employed lawyer,Private Sector,Law firm,no,,https://www.facebook.com/giommaria.uggias.1/about,,no,,,,,,,,,,,
97006,Giorgos Papakonstantinou,Greece,S&D,Socialist Movement,European parliament,MEP,Owner and Chairman of GSP-Advisory ,Private Sector,Consultancy,no,,http://www.delphiforum.gr/speakers/george-papaconstantinou,,no,,,,For whom?,,,,,,,
123792,Giovanni Barbagallo,Italy,S&D,Democratic Party,European parliament,MEP,Regional Councillor for the Liguria region,Public Service,Elected office,no,,http://www.regione.liguria.it/regione-liguria/ente/consiglio/consiglieri/item/2002-barbagallo-giovanni.html,,No,,,,No longer a deputy in the Sicilian assembly,,,,,,,
97195,Giovanni Collino,Italy,EPP,The people of freedom,European parliament,MEP,President of Olos srl (EU funding consultancy),Private Sector,Consultancy,yes ,,http://www.olosgroup.eu/team-eng/,,no,,,,Helping to get funding is lobbying under the Transparency Register,,,,,,,
4562,Giuseppe Gargani,Italy,EPP,Forza Italia,European parliament,MEP,Politician ,Public Service,Political party,no,2,http://comitatopopolareperilno.it/chi-siamo/,,No,,,,Politically active,,,,,,,
4562,Giuseppe Gargani,Italy,EPP,Forza Italia,European parliament,MEP,Lawyer,Private Sector,Self-employed,no,,https://it.wikipedia.org/wiki/Giuseppe_Gargani,,no,,,,,,,,,,,
28513,Godfrey Bloom,United Kingdom,NI,United Kingdom Independance Party,European parliament,MEP,Chairman of the parliamentary Mises Book Club (Austrian economics). ,Academia,Think tank,no,2,https://mises.org/profile/godfrey-bloom,,no,,,UKIP,,,,,,,,
28513,Godfrey Bloom,United Kingdom,NI,United Kingdom Independance Party,European parliament,MEP,Independent politician. ,Public Service,Political party,no,,https://en.wikipedia.org/wiki/Godfrey_Bloom,,No,,,,,,,,,,,
4265,Göran Färm,Sweden,S&D,Social Democratic Party,European parliament,MEP,Senior Advisor at Diplomat Communications,Private Sector,Consultancy,yes,,http://diplomatcom.com/en/who-we-are/goran-farm/,,no,,,,Diplomat Comms provides EU focussed lobbying through its partner organisation Cabinet DN,,,,,,,
97020,Guido Milana,Italy,S&D,Democratic Party,European parliament,MEP,Councillor for the Fisheries Policy in the Ministry of Agriculture,Public Service,Public sector,no,,https://www.politicheagricole.it/flex/cm/pages/ServeBLOB.php/L/IT/IDPagina/9637,,No,,,PD,,,,,,,,
2295,Hannes Swoboda,Austria,S&D,Social Democratic Party,European parliament,MEP,Member of the European Council on Foreign Relations,Academia,Think tank,yes,13,http://www.ecfr.eu/council#austria,,yes,http://ec.europa.eu/transparencyregister/public/consultation/displaylobbyist.do?id=339569615567-89,,,Check this. Need link,,,,,,,
2295,Hannes Swoboda,Austria,S&D,Social Democratic Party,European parliament,MEP,Board Member Kreisky Forum,Academia,Think tank,no,,http://www.kreisky-forum.org/Board.html,,no,,,,,,,,,,,
2295,Hannes Swoboda,Austria,S&D,Social Democratic Party,European parliament,MEP,Board member Europa Forum Wien,Private Sector,Consultancy,no,,http://www.europaforum.or.at/index.php?id=3,,no,,,,,,,,,,,
2295,Hannes Swoboda,Austria,S&D,Social Democratic Party,European parliament,MEP,President of International Peace Institute Vienna,NGO,NGO,no,,http://iip5.webnode.com/institute/,,no,,,,,,,,,,,
2295,Hannes Swoboda,Austria,S&D,Social Democratic Party,European parliament,MEP,Co-President of ICEUR Vienna (EU - Russia /NIS Research),Academia,Think tank,no,,http://www.iceur-vienna.at/aboutus.html,,no,,,,,,,,,,,
2295,Hannes Swoboda,Austria,S&D,Social Democratic Party,European parliament,MEP,Member of Advisory Board of IFIMES Ljubljana (Middle East and Balkan Studies),Academia,Think tank,no,,http://www.ifimes.org/en/about-us/advisory-board,,no,,,,,,,,,,,
2295,Hannes Swoboda,Austria,S&D,Social Democratic Party,European parliament,MEP,Chairman of the Board of the Sir Peter Ustinov Institute,Academia,Think tank,no,,http://www.ustinov.at/personen,,no,,,,,,,,,,,
2295,Hannes Swoboda,Austria,S&D,Social Democratic Party,European parliament,MEP,Chairman FH Campus Wien/University for Applied Science,Academia,University,no,,https://www.fh-campuswien.ac.at/en/fh-campus-wien/organization/executive-committee.html,,no,,,,,,,,,,,
2295,Hannes Swoboda,Austria,S&D,Social Democratic Party,European parliament,MEP,Member of Advisory Board VERN University Zagreb,Academia,University,no,,http://www.vern.hr/english/about-vern/advisory-council-members,,no,,,,,,,,,,,
2295,Hannes Swoboda,Austria,S&D,Social Democratic Party,European parliament,MEP,Vice-President Austrian Chapter of Club of Rome,Academia,Think tank,no,,http://www.clubofrome.at/Organisation/,,no,,,,,,,,,,,
2295,Hannes Swoboda,Austria,S&D,Social Democratic Party,European parliament,MEP,Chairman of Board of the Center for Democracy and Reconciliation in South East Europe (CDRSEE),NGO,NGO,yes,,http://www.cdrsee.org/about-us/our-board/members-our-board#Swoboda,,yes,http://ec.europa.eu/transparencyregister/public/consultation/displaylobbyist.do?id=660781520586-28,,,,,,,,,,
2295,Hannes Swoboda,Austria,S&D,Social Democratic Party,European parliament,MEP,President of the Vienna Institute for Economic Comparisons,Academia,University,no,,http://wiiw.ac.at/board-of-directors.html,,no,,,,,,,,,,,
1253,Hans-Gert Pöttering,Germany,EPP,Christian Democratic Union,European parliament,MEP,Chairman of the Konrad-Adenauer-Stiftung,NGO,NGO,yes,3,https://de.wikipedia.org/wiki/Hans-Gert_P%C3%B6ttering,,yes,http://ec.europa.eu/transparencyregister/public/consultation/displaylobbyist.do?id=2905437316-11,,,,,,,,,,
1253,Hans-Gert Pöttering,Germany,EPP,Christian Democratic Union,European parliament,MEP,"Member of the Board of Directors of the Association for the ""International Charlemagne Prize"" of Aachen",NGO,NGO,no,,https://de.wikipedia.org/wiki/Hans-Gert_P%C3%B6ttering,,no,,,,Also a Member of the A soul for Europe with Doris Pack,,,,,,,
1253,Hans-Gert Pöttering,Germany,EPP,Christian Democratic Union,European parliament,MEP,Board Member of the House of European History,NGO,NGO,no,,https://de.wikipedia.org/wiki/Hans-Gert_P%C3%B6ttering,,no,,,,,,,,,,,
1253,Hans-Gert Pöttering,Germany,EPP,Christian Democratic Union,European parliament,MEP,"Board Member of ""A soul for Europe""",NGO,NGO,no,,http://www.asoulforeurope.eu/about-us/mission-statement,,,,,,,,,,,,,
4238,Hans-Peter Martin,Austria,NI,Hans-Peter Martin's List,European parliament,MEP,Journalist,Private Sector,Media,no,,https://en.wikipedia.org/wiki/Hans-Peter_Martin,,no,,,,,,,,,,,
4275,Hans-Peter Mayer,Germany,EPP,Christian Democratic Union,European parliament,MEP,Unknown,Unknown,Unknown,Unknown,0,,,No,,,,Not working in conulting,,,,,,,
4318,Harlem Désir,France,S&D,Socialist Party,European parliament,MEP,Secretary of State for European Affairs ,Public Service,Elected office,no,,http://www.diplomatie.gouv.fr/en/the-minister-and-the-ministers-of-state/harlem-desir/,,No,,,,,,,,,,,
4294,Heide Rühle,Germany,Greens/EFA,Alliance '90/The Greens,European parliament,MEP,No information available,Unknown,Unknown,Unknown,0,,,No,,,,,,,,,,,
4385,Hélène Flautre,France,Greens/EFA,Europe Ecology,European parliament,MEP,Municipal Councillor in the City of Arras,Public Service,Elected office,no,,https://www.arras.fr/fr/elus,,No,,,,,,,,,,,
96879,Hella Ranner,Austria,EPP,Austrian People's Party,European parliament,MEP,Sentenced to 2 years of prison in 2014,Other,Prison,no,,https://de.wikipedia.org/wiki/Hella_Ranner,,No,,,OVP,Should come out soon though,,,,,,,
2319,Henri Weber,France,S&D,Socialist Party,European parliament,MEP,Retired,Other,Retired / Deceased,no,,https://fr.wikipedia.org/wiki/Henri_Weber,,No,,,PS,,,,,,,,
1059,Hiltrud Breyer,Germany,Greens/EFA,Alliance '90/The Greens,European parliament,MEP,Member of the Scientific Advisory Committe of the Coalition Against BAYER Dangers (CBG),NGO,NGO,Unknown,,http://www.cbgnetwork.org/38.html,,no,,,,,,,,,,,
28247,Holger Krahmer,Germany,ALDE,Free Democratic Party,European parliament,MEP,Director European Affairs Public Policy and Government Relations at Opel Group,Private Sector,Consultancy,yes ,,https://corporateeurope.org/revolvingdoorwatch/cases/holger-krahmer,,yes,http://ec.europa.eu/transparencyregister/public/consultation/displaylobbyist.do?id=6781451805-03,,,,,,,,,,
1930,Horst Schnellhardt,Germany,EPP,Christian Democratic Union,European parliament,MEP,No information available,Unknown,Unknown,Unknown,0,,,No,,,,,,,,,,,
2307,Hubert Pirker,Austria,EPP,Austrian People's Party,European parliament,MEP,Chief Executive and Owner of Dr. Hubert Pirker - EUCONET,Private Sector,Consultancy,yes ,,http://www.euconet.at/dr-hubert-pirker-2/cv/?lang=en,,no,,This one looks like it definitely should be registered but I couldn't find it,OVP,,,,,,,,
23695,Hynek Fajmon,Czech Republic,ECR,Civic Democratic Party,European parliament,MEP,Consultant at BP Research,Private Sector,Consultancy,yes ,,http://www.bpresearch.eu/lide,,no,,,,Brussels based lobbying,,,,,,,
