Nr ,Name,Country,Political_group,Party,Institution,mandate,post_mandate_activities,category_pie ,category_bar,Brussels_lobbying,Number of Activities,Link_source,pre_mandate_activity orginal,pre_mandate_activity,Category pie,category_bar2,Link_DOI,Link_profile,party2,Description ,Paid_unpaid,Answers,Certified,Date of Commission authorisation,Based on advice from Ad hoc Ethical Committee?,Link to authorisation in College of Commissioners' minutes,"Link to Commission authorisation documents, released under freedom of information rules. Click on the links to read the documents"
28280,Filip KACZMAREK,Poland,EPP,Civic Platform,European Parliament,MEP,No information available,Unknown,Unknown,Unknown,,,,Unknown,Unknown,Unknown,http://www.europarl.europa.eu/ep-dif/28280_19-03-2012.pdf,,PO,Confirm,,,,,,,
28477,Fiona HALL,United Kingdom,ALDE,Liberal Democrats,European Parliament,MEP, Senior policy advisor to its energy efficiency team. Rockwool International A/S (Hall's major Consultancies client),Private Sector,Consultancies,yes ,,https://corporateeurope.org/revolvingdoorwatch/cases/fiona-hall,Member of the EU Parliament3,MEP,Elected office and public sector,Elected office,http://www.europarl.europa.eu/ep-dif/rev/28477_08-12-2012_Rev2.pdf,,LibDem,,,,,,,,
96994,Fiorello PROVERA,Italy,EFDD,Northern League,European Parliament,MEP,No information available,Unknown,Unknown,Unknown,,,Parlamentare It.3,Radio SWH,Private sector,Media,http://www.europarl.europa.eu/ep-dif/rev/96994_15-04-2013_Rev2.pdf,,,,,,,,,,
96979,Francesca BALZANI,Italy,S&D,Democratic Party,European Parliament,MEP,Deputy Mayor of Milan,Elected office & public sector,Elected office,no,2,http://www.ilgiorno.it/milano/politica/francesca-balzani-1.1631064,"Assessore Comune di Genova2Fondazione Carige, Membro Consiglio D'Indirizo2Presidente Consiglio Amminstrazione Opere Social S.R.L.2Avvocato-Lavoratore Autonomo (2006)4nessuna attivitaAvvocato2Nessuna Attivita (nothing)Nessuna Attivita (nothing)Nessuna Partecipazione [nothing]00",PSOE,Elected office and public sector,Political parties,http://www.europarl.europa.eu/ep-dif/96979_14-04-2012.pdf,,PD,,,,,,,,
96979,Francesca BALZANI,Italy,S&D,Democratic Party,European Parliament,MEP,"Town councilor for the Budget, Heritage and Taxes at the Municipality of Milan",Elected office & public sector,Elected office,no,,http://www.ilgiorno.it/milano/politica/francesca-balzani-1.1631064,"Assessore Comune di Genova2Fondazione Carige, Membro Consiglio D'Indirizo2Presidente Consiglio Amminstrazione Opere Social S.R.L.2Avvocato-Lavoratore Autonomo (2006)4nessuna attivitaAvvocato2Nessuna Attivita (nothing)Nessuna Attivita (nothing)Nessuna Partecipazione [nothing]00",PSOE,Elected office and public sector,Political parties,http://www.europarl.europa.eu/ep-dif/96979_14-04-2012.pdf,,PD,,,,,,,,
116823,Francesca BARRACCIU,Italy,S&D,Democratic Party,European Parliament,MEP,Was prosecuted for misuse of public funds (in Italy) and had to resign from her function as Undersecretary for Cultural Heritage,Unknown,Unknown,Unknown,,https://it.wikipedia.org/wiki/Francesca_Barracciu,Membro Consiglio Regionale della sardegna30000000,Member of the regional council of Sardigna ,Elected office and public sector,Elected office,http://www.europarl.europa.eu/ep-dif/116823_14-05-2013.pdf,,,Could not find proof of imrpisonment ,,,,,,,
96887,Francesco DE ANGELIS,Italy,S&D,Democratic Party,European Parliament,MEP,President of a public economic industrial development consortium in Frisonone ,Elected office & public sector,Public sector,no,,http://www.asifrosinone.com/amministrazione-trasparente/francesco-de-angelis-presidente,Consigliere e Assesore Regione Lazio4000000000,Regional Councilor ,Elected office and public sector,Elected office,http://www.europarl.europa.eu/ep-dif/rev/96887_07-03-2012_Rev2.pdf,,PD,,,,,,,,
997,Francesco Enrico SPERONI,Italy,EFDD,Northern League,European Parliament,MEP,No information available,Unknown,Unknown,Unknown,,https://it.wikipedia.org/wiki/Francesco_Speroni,MPE3Avocat,"MEP, Lawyer",Elected office and public sector,Elected office,http://www.europarl.europa.eu/ep-dif/rev/997_04-02-2013_Rev2.pdf,,,No longer a MP,,,,,,,
118710,Franco BONANINI,Italy,NI,Democratic Party,European Parliament,MEP,Got 10 years sentence for the mismanagement of public funds in the cinque terra project,Others,Prison,no,,http://www.cittadellaspezia.com/La-Spezia/Politica/Il-day-after-una-citta-col-fiato-220425.aspx,Pensionato2Indemnita' Presidente2Parco nazionale 5 terre (fino al 30/11/2010)Giunta Federparchi fino 30/11/20100Membro direzione nazionale legambiente0Comitato promotori fondazione Symbola00Pensionato2Comitato del promotori fondazione Symbola00000,President of the cinqueterrre national parc. Boardmember of the Symbola foundation.,Elected office and public sector,Public sector,http://www.europarl.europa.eu/ep-dif/118710_07-05-2013.pdf,,,Appears to have been arrested on the 3rd of November.,,,,,,,
118999,Franco FRIGO,Italy,S&D,Democratic Party,European Parliament,MEP,No information available,Unknown,Unknown,Unknown,,https://it.wikipedia.org/wiki/Franco_Frigo,Ingegnere Civile Studio Frigo SAS2Ingegnere Civile Studio Frigo SAS2,Civil engineer for his own company Studio Frigo,Private sector,Self-employed,http://www.europarl.europa.eu/ep-dif/rev/118999_22-05-2013_Rev2.pdf,,,,,,,,,,
96750,François ALFONSI,France,Greens/EFA,Party of the Corsican Nation,European Parliament,MEP,President of the European Free Alliance,Elected office & public sector,Political parties,no,,http://www.e-f-a.org/whos-who/president/,Ingénieur ABEME2Maire dunne commune de moins de 500 hab.550néant (nothing)néant (nothing)néant (nothing)néant (nothing)Néant (nothing)Néant (nothing),"Engineer at ABEME, Mayor of a small commune (less than 500 inhabitants)",Private sector,Companies and Groups ,http://www.europarl.europa.eu/ep-dif/96750_06-03-2012.pdf,,,,,,,,,,
28148,Françoise CASTEX,France,S&D,Socialist Party,European Parliament,MEP,No information available,Unknown,Unknown,Unknown,,,,Technical Councilor for the Ministry of Foreign Affairs,Elected office and public sector,Public sector,http://www.europarl.europa.eu/ep-dif/28148_27-02-2012.PDF,,,No info available ,,,,,,,
1956,Frank VANHECKE,Belgium,NI,Flemish Interest ,European Parliament,MEP,No information available,Unknown,Unknown,Unknown,,,,Boardmember of the Flemish Interest party,Elected office and public sector,Political parties,http://www.europarl.europa.eu/ep-dif/1956_26-02-2012.pdf,,,,,,,,,,
96662,Franziska Katharina BRANTNER,Germany,Greens/EFA,Alliance '90/The Greens,European Parliament,MEP,Member of the German Parliament,Elected office & public sector,Elected office,no,,http://www.bundestag.de/abgeordnete18/biografien/B/brantner_franziska/259392,"Unknown position for Bertelsman Stuftung, Unifem, Manheim University","Unknown position for Bertelsman Stuftung, Unifem, Manheim University",NGOs,NGOs ,http://www.europarl.europa.eu/ep-dif/96662_26-03-2012.pdf,,,,,,,,,,
97125,Frédéric DAERDEN,Belgium,S&D,Socialist Party,European Parliament,MEP,MP of the Belgian federal Parliament,Elected office & public sector,Elected office,no,2,https://goo.gl/hPlJ41,,Regional Councillor of Lazio,Elected office and public sector,Elected office,http://www.europarl.europa.eu/ep-dif/97125_30-03-2012.pdf,,,,,,,,,,
97125,Frédéric DAERDEN,Belgium,S&D,Socialist Party,European Parliament,MEP,Mayor of the city of Herstal,Elected office & public sector,Elected office,no,,https://goo.gl/hPlJ41,,Regional Councillor of Lazio,Elected office and public sector,Elected office,http://www.europarl.europa.eu/ep-dif/97125_30-03-2012.pdf,,,,,,,,,,
28463,Frieda BREPOELS,Belgium,Greens/EFA,New Flemish Alliance,European Parliament,MEP,mayor of Bilzen ,Elected office & public sector,Elected office,no,,http://www.bilzen.be/burgemeester,"MEP, Municipal Coucilor","MEP, Municipal Coucilor",Elected office and public sector,Elected office,http://www.europarl.europa.eu/ep-dif/28463_07-03-2012.pdf,,,,,,,,,,
28367,Gabriele ALBERTINI,Italy,EPP,Civic Choice,European Parliament,MEP,Senator from 2013 in Italy,Elected office & public sector,Elected office,no,,https://en.wikipedia.org/wiki/Gabriele_Albertini,"President Edipower s.p.a, Vice-President Albertini Cesare s.pa, MEP","President Edipower s.p.a, Vice-President Albertini Cesare s.pa, MEP",Private sector,Companies and Groups ,http://www.europarl.europa.eu/ep-dif/28367_22-03-2012.pdf,,,,,,,,,,
4293,Gabriele STAUNER,Germany,EPP,Christian Social Union,European Parliament,MEP,Lecturer at the Munich College of politics. Member of the board of Trustees of the University of Budapest.,Academia,Academic,no,2,http://www.csu-europagruppe.de/seiten/stauner.htm,Ministerialdirektorin3Vorsitz Woronesch-Verein e.V. München0Vorsitze EZA Bayern e.V. München0,Unreadable,Unknown,Unknown,http://www.europarl.europa.eu/ep-dif/4293_05-11-2013.pdf,,CSU,,,,,,,,
4293,Gabriele STAUNER,Germany,EPP,Christian Social Union,European Parliament,MEP,Member of the board of Trustees of the University of Budapest.,Academia,Academic,no,,http://www.csu-europagruppe.de/seiten/stauner.htm,Ministerialdirektorin3Vorsitz Woronesch-Verein e.V. München0Vorsitze EZA Bayern e.V. München0,Unreadable,Unknown,Unknown,http://www.europarl.europa.eu/ep-dif/4293_05-11-2013.pdf,,,,,,,,,,
96908,Gaston FRANCO,France,EPP,Union for a Popular Movement,European Parliament,MEP,No information available,Unknown,Unknown,Unknown,,,,"Councilor for the Mayor of Nice, President of the forest communes, President of national parc of Mercantour",Elected office and public sector,Public sector,http://www.europarl.europa.eu/ep-dif/96908_17-01-2012.pdf,,UMP,,,,,,,,
28112,Gay MITCHELL,Ireland,EPP,Fine Gael,European Parliament,MEP,Part of the Epilepsy Europe Alliance Task force,NGOs,NGOs,yes ,,https://www.epilepsyallianceeurope.org/epilepsy-alliance-europe-task-force/,MEP3,MEP,Elected office and public sector,Elected office,http://www.europarl.europa.eu/ep-dif/rev/28112_28-03-2012_Rev2.pdf,,,NGOs but clearly their concerns lobbying EU institutions ,,,,,,,
96846,George BECALI,Romania,NI,Greater Romania Party,European Parliament,MEP,President of the Council of Administration of FC Steaua Bucharest (one of the major football teams in Romania). Top 10 fortunes of Romania. ,Private Sector,Companies and Groups,no,,https://ro.wikipedia.org/wiki/George_Becali,Unknown,Unknown,Unknown,Unknown,http://www.europarl.europa.eu/ep-dif/96846_05-04-2012.pdf,,PRM,Is emrboiled in many controversies but does not appear to be engaged in lobbying activities,,,,,,,
96959,George LYON,United Kingdom,ALDE,Liberal Democrats,European Parliament,MEP,Agri-business senior consultant FOR Hume Brophy ,Private Sector,Business associations,yes ,,https://corporateeurope.org/revolvingdoorwatch/cases/george-lyon,,Member of Scottish Parliament,Elected office and public sector,Elected office,http://www.europarl.europa.eu/ep-dif/96959_01-03-2012.pdf,,LibDem,,,,,,,,
96856,George Sabin CUTAS,Romania,S&D,Conservative Party,European Parliament,MEP,No information available,Unknown,Unknown,Unknown,,,Senatul României100Asociat Unic Cab. Consultanta S. Cutas00000,"Senator in the Romanian Parliament, Consultant ",Elected office and public sector,Elected office,http://www.europarl.europa.eu/ep-dif/rev/96856_26-01-2012_Rev2.pdf,,,Confirm,,,,,,,
124646,Georgios GKIKOPOULOS,Greece,GUE/NGL,Communist Party of Greece,European Parliament,MEP,No information available,Unknown,Unknown,Unknown,,,Unknown,Unknown,Unknown,Unknown,http://www.europarl.europa.eu/ep-dif/124646_22-05-2014.pdf,,KKE,No info ,,,,,,,
97011,Georgios KOUMOUTSAKOS,Greece,EPP,New Democracy ,European Parliament,MEP,Spokesman / Member of Hellenic Parliament,Elected office & public sector,Elected office,no,,https://www.linkedin.com/in/georgios-koumoutsakos-40689167,ΔΙΠΛΩΜΑΤΗΣ ΕΚΠΡΟΣΩΠΟΣ Υ.ΠΕΞΩΤΕΡΙΚΩΝ (2006)2ΔΙΠΛΩΜΑΤΗΣ ΕΚΠΡΟΣΩΠΟΣ Υ.ΠΕΞΩΤΕΡΙΚΩΝ (2007)2ΔΙΠΛΩΜΑΤΗΣ ΕΚΠΡΟΣΩΠΟΣ Υ.ΠΕΞΩΤΕΡΙΚΩΝ (2008)2,"Professor, Mayor",Elected office and public sector,Elected office,http://www.europarl.europa.eu/ep-dif/97011_30-03-2012.pdf,,ND,,,,,,,,
96900,Georgios PAPANIKOLAOU,Greece,EPP,New Democracy,European Parliament,MEP,Mayor of Glyfada (suburb of Athens) ,Elected office & public sector,Elected office,no,,https://goo.gl/UDlSED,"ΔΙΚΗΓΟΡΟΣ 2ΔΙΚΗΓΟΡΟΣ , ΜΕΛΟΣ ΤΟΥ ΔΙΚΗΓΟΡΙΚΟΥ ΣΥΛΛΟΓΟΥ ΑΘΗΝΩΝ (ΧΩΡΙΣ ΕΣΟΔΑ ΤΗΝ ΤΡΕΧΟΥΣΑ ΠΕΡΙΟΔΟ)","Lawyer, member of the Athens Bar Association",Private sector,Self-employed,http://www.europarl.europa.eu/ep-dif/rev/96900_23-03-2012_Rev2.pdf,,ND,,,,,,,,
28572,Georgios PAPASTAMKOS,Greece,EPP,New Democracy,European Parliament,MEP,Suffered a serious stroke while MEP. Most likely retired,Others,Retired,no,,https://goo.gl/46Majm,ΚΑΘΗΓΗΤΗΣ ΠΑΝΕΠΙΣΤΗΜΙΟΥ (ΠΡΟ 2004). ΕΚ ΤΟΤΕ ΣΕ ΑΝΑΣΤΟΛΗ2ΔΙΚΗΓΟΡΟΣ (ΣΕ ΑΝΑΣΤΟΛΗ),University professor ,Academia,Academic,http://www.europarl.europa.eu/ep-dif/28572_11-01-2012.pdf,,ND,,,,,,,,
97008,Georgios STAVRAKAKIS,Greece,S&D,Socialist Movement,European Parliament,MEP,died in February 2015,Others,Deceased,no,,https://goo.gl/ffrKRM,"ΔΙΕΥΘΥΝΤΗΣΗ ΓΕΩΔΥΝΑΜΙΚΟΥ ΙΝΣΤΙΤΟΥΤΟΥ , ΕΘΝΙΚΟΥ ΑΣΤΕΡΟΣΚΟΠΙΟΥ ΑΘΗΝΩΝ2ΠΡΟΕΔΡΟΣ ΜΟΝΙΜΗΣ ΕΙΔΙΚΗΣ ΕΠΙΣΤΗΜΟΝΙΚΗΣ ΕΠΙΤΡΟΠΗΣ ΓΙΑ ΕΚΤΙΜΗΣΗ ΣΕΙΣΜΙΚΟΥ ΚΙΝΔΥΝΟΥ2",Secretary General TO Greek Ministry of foreign Affairs  Foreign Affairs,Elected office and public sector,Elected office,http://www.europarl.europa.eu/ep-dif/rev/97008_06-03-2012_Rev2.pdf,,,,,,,,,,
28584,Georgios TOUSSAS,Greece,GUE/NGL,Communist Party,European Parliament,MEP,No information available,Unknown,Unknown,Unknown,,https://fr.wikipedia.org/wiki/Patrice_Tirolien,MEMBER OF THE EUROPEAN PARLIAMENT 2,MEP,Elected office and public sector,Elected office,http://www.europarl.europa.eu/ep-dif/rev/28584_29-03-2012_Rev2.pdf,,,No longer a mayor of his home time ,,,,,,,
96758,Gerald HÄFNER,Germany,Greens/EFA,Alliance '90/The Greens,European Parliament,MEP,Dean of the social sciences section of the Goetheanum,Academia,Academic,no,,http://sozial.goetheanum.org/about-us/structure/,"Mehr Demokratie e.V. Vorstandssprecher0freiberuflicher Publizist2Democracy International Präsident0Mehr Demokratie e.V., Vorstandsmitglied0Stiftung Mitarbeit, Stiftungsrat0Initiative & Referendum Institute Europe, Council Member0Petra-Kelly-Stiftung, Stiftungsratmitglied0Gelgentliche Honorare für schöpferische Werke im Rahmen meiner früheren und - um nicht völlig den Anschluss zu verlieren - extrem eingeschränkt noch gegenwärtig ausgeübten Tätigkeit. (Für Tatigkeiten im Rahmen des Mandates akzeptiere ich keine Honorierung durch Dritte. Der Wahrnehmung meines Mandates gehören 99% meiner Arbeitszeit). Ich gebe diese im Sinne vollständiger Transparenz an, auch wenn sie aufgrund der geringen Vergütung von weit unter 5000,-/Jahr wegen, nicht zu den anzugebenen Tätigkeiten gehört.","Chairman of More Democracy, frelance Journalist, Boardmember Initiative and Referendum Europe, Boardmember Petra Kelly Foundation",NGOs,NGOs ,http://www.europarl.europa.eu/ep-dif/96758_27-03-2012.pdf,,,,,,,,,,
96996,Giancarlo SCOTTÀ,Italy,EFDD,Lega Nord,European Parliament,MEP,teacher in High School ,Academia,Academic,no,,https://www.linkedin.com/in/giancarlo-scotta-17350088,,Director Institute of Geodynamics,Academia,Academic,http://www.europarl.europa.eu/ep-dif/96996_21-03-2012.pdf,,,No longer mayor of Veneto,,,,,,,
36396,Gianluca SUSTA,Italy,S&D,Democratic Party,European Parliament,MEP,Senator,Elected office & public sector,Elected office,no,,http://www.senato.it/leg/17/BGT/Schede/Attsen/00029187.htm,"Lawyer, MEP, Regional Councilor","Lawyer, MEP, Regional Councilor",Elected office and public sector,Elected office,http://www.europarl.europa.eu/ep-dif/36396_28-03-2012.pdf,,PD,,,,,,,,
4398,Gianni VATTIMO,Italy,ALDE,Italy of Values,European Parliament,MEP,Philosopher and university professor ,Academia,Academic,no,,https://en.wikipedia.org/wiki/Gianni_Vattimo,,Unknown,Unknown,Unknown,http://www.europarl.europa.eu/ep-dif/rev/4398_28-02-2012_Rev2.pdf,,,,,,,,,,
2097,Giles CHICHESTER,United Kingdom,ECR,Conservative Party,European Parliament,MEP,No longer lord mayor. Most likely retired. ,Others,Retired,no,,https://en.wikipedia.org/wiki/Giles_Chichester,"Member of EU Parliament since 19943Director of Francis Chichester Ltd and majority shareholderDirector and 50% shareholder of Guildford Timber Company Ltd NZ, Forestry and Real EstateBoard Member of Francis Chichester LTD (ceased trading 31/3/12)Board Member of Guildford Timber Company LTD NZPresident of European Energy ForumEuropean Officer of UK Parliamentary Group for Energy StudiesTrustee for Sir Francis Chichester Trust - Supporting Young People on Outward Bound CoursesFrancis Chichester LTD0.74Guildford Timber Company0.5","Member of EU Parliament since 1994, Director of Francis Chichester Ltd and majority shareholder, Director and 50% shareholder of Guildford Timber Company Ltd NZ, Forestry and Real EstateBoard, Member of Francis Chichester LTD (ceased trading 31/3/12), President of European Energy Forum, European Officer of UK Parliamentary Group for Energy Studies,",Private sector,Companies and Groups ,http://www.europarl.europa.eu/ep-dif/rev/2097_08-05-2013_Rev2.pdf,,,History: http://www.telegRaphael.co.uk/news/2080844/Giles-Chichester-resigns-as-Tory-leader-in-European-Parliament-over-expenses-scandal.html,,,,,,,
110987,Gino TREMATERRA,Italy,EPP,Union of Christian and Centre Democrats,European Parliament,MEP,No information available,Unknown,Unknown,Unknown,,,,Association anti-discriminations,NGOs,NGOs ,http://www.europarl.europa.eu/ep-dif/110987_19-03-2012.pdf,,UDC,,,,,,,,
97131,Giommaria UGGIAS,Italy,ALDE,Italy of Values,European Parliament,MEP,lawyer at his own law firm ,Private Sector,Law firms,no,,https://www.facebook.com/giommaria.uggias.1/about,Avvocato4Avvocato4000,"University Professor, President of Magna Graecia Project",Academia,Academic,http://www.europarl.europa.eu/ep-dif/97131_09-01-2013.pdf,,,,,,,,,,
97006,Giorgos PAPAKONSTANTINOU,Greece,S&D,Socialist Movement,European Parliament,MEP,Owner and Chairman of GSP-Advisory ,Private Sector,Consultancies,no,,https://www.linkedin.com/in/george-papaconstantinou-52039b72,Unknown,Unknown,Unknown,Unknown,http://www.europarl.europa.eu/ep-dif/97006_23-06-2009.pdf,,,For whom?,,,,,,,
123792,Giovanni BARBAGALLO,Italy,S&D,Democratic Party,European Parliament,MEP,regional Councillor for the Liguria region,Elected office & public sector,Elected office,no,,http://www.regione.liguria.it/regione-liguria/ente/consiglio/consiglieri/item/2002-barbagallo-giovanni.html,Unknown,Unknown,Unknown,Unknown,http://www.europarl.europa.eu/ep-dif/123792_17-03-2014.pdf,,,No longer a deputy in the Sicilian assembly,,,,,,,
97195,Giovanni COLLINO,Italy,EPP,The people of freedom,European Parliament,MEP,"President of Olos srl, a company that helps public and private entities to obtain European, national and regional fundingdeals",Private Sector,Consultancies,yes ,,http://www.olosgroup.eu/team-eng/,Unknown,Unknown,Unknown,Unknown,http://www.europarl.europa.eu/ep-dif/97195_12-01-2011.PDF,,,Helping to get funding is lobbying under the Transparency Register,,,,,,,
4562,Giuseppe GARGANI,Italy,EPP,Forza Italia,European Parliament,MEP,Politician ,Elected office & public sector,Political parties,no,3,http://comitatopopolareperilno.it/chi-siamo/,"Depute europeen, jusq'au juillet 20094Avocat anée fiscale 20084Avocat anée fiscale 20093Avocat anée fiscale 20082","MEP, Lawyer",Elected office and public sector,Elected office,http://www.europarl.europa.eu/ep-dif/rev/4562_27-03-2012_Rev2.pdf,,,Politically active,,,,,,,
4562,Giuseppe GARGANI,Italy,EPP,Forza Italia,European Parliament,MEP,Lawyer,Private Sector,Self-employed,no,,,"Depute europeen, jusq'au juillet 20094Avocat anée fiscale 20084Avocat anée fiscale 20093Avocat anée fiscale 20082","MEP, Lawyer",Elected office and public sector,Elected office,http://www.europarl.europa.eu/ep-dif/rev/4562_27-03-2012_Rev2.pdf,,,,,,,,,,
4562,Giuseppe GARGANI,Italy,EPP,Forza Italia,European Parliament,MEP,Chair the Popular committee for the no in the constitutional referendum,Elected office & public sector,Political parties,no,,,"Depute europeen, jusq'au juillet 20094Avocat anée fiscale 20084Avocat anée fiscale 20093Avocat anée fiscale 20082","MEP, Lawyer",Elected office and public sector,Elected office,http://www.europarl.europa.eu/ep-dif/rev/4562_27-03-2012_Rev2.pdf,,,,,,,,,,
28513,Godfrey BLOOM,United Kingdom,NI,United Kingdom Independance Party,European Parliament,MEP,Chairman of the Parliamentary Mises Book Club (Austrian economics). ,Academia,Think tanks,no,2,https://mises.org/profile/godfrey-bloom,Advisor Cambridge University0Investment illisible3Educational research associates0Ladies equestrian sponsorship0,"Advisor University of Cambridge, Educational Research Associate, Ladies equatrian sponsorship",Academia,Academic,http://www.europarl.europa.eu/ep-dif/28513_19-03-2013.pdf,,UKIP,,,,,,,,
28513,Godfrey BLOOM,United Kingdom,NI,United Kingdom Independance Party,European Parliament,MEP,Independent politician. ,Elected office & public sector,Political parties,no,,,Advisor Cambridge University0Investment illisible3Educational research associates0Ladies equestrian sponsorship0,"Advisor University of Cambridge, Educational Research Associate, Ladies equatrian sponsorship",Academia,Academic,http://www.europarl.europa.eu/ep-dif/28513_19-03-2013.pdf,,,,,,,,,,
4265,Göran FÄRM,Sweden,S&D,Social Democratic Party,European Parliament,MEP,Senior Advisor at Diplomat Communications,Private Sector,Consultancies,yes ,,https://www.linkedin.com/in/g%C3%B6ran-f%C3%A4rm-54a300a2,,"Owner and Consultant of Europa AB, Project leader Global Untmaning, Conselor for Commissioner Margot Wallstrom, ",Private sector,Companies and Groups ,http://www.europarl.europa.eu/ep-dif/4265_25-03-2012.pdf,,,Diplomat Comms provides EU focussed lobbying through its partner organisation Cabinet DN ,,,,,,,
97020,Guido MILANA,Italy,S&D,Democratic Party,European Parliament,MEP,Councillor for the fisheries policy in the Ministry of Agriculture,Elected office & public sector,Public sector,no,,https://www.politicheagricole.it/flex/cm/pages/ServeBLOB.php/L/IT/IDPagina/9637,,"Member of Parliament of Wallonie, Mayor of Herstal, Vice President Socialist Party federation Liege",Elected office and public sector,Elected office,http://www.europarl.europa.eu/ep-dif/97020_20-03-2012.pdf,,PD,,,,,,,,
2295,Hannes SWOBODA,Austria,S&D,Social Democratic Party,European Parliament,MEP,European Council for Foreign Relations,Academia,Think tanks,yes ,13,https://www.linkedin.com/in/swoboda-hannes-b76a4a51?trk=pub-pbmap,,MEP,Elected office and public sector,Elected office,http://www.europarl.europa.eu/ep-dif/2295_13-03-2012.pdf,,,Check this. Need link,,,,,,,
2295,Hannes SWOBODA,Austria,S&D,Social Democratic Party,European Parliament,MEP,Boardmember Kreisky Forum ,Academia,Think tanks,no,,https://www.linkedin.com/in/swoboda-hannes-b76a4a51?trk=pub-pbmap,,MEP,Elected office and public sector,Elected office,http://www.europarl.europa.eu/ep-dif/2295_13-03-2012.pdf,,,,,,,,,,
2295,Hannes SWOBODA,Austria,S&D,Social Democratic Party,European Parliament,MEP,Vice-President Europa Forum Wien,Private Sector,Consultancies,no,,https://www.linkedin.com/in/swoboda-hannes-b76a4a51?trk=pub-pbmap,,MEP,Elected office and public sector,Elected office,http://www.europarl.europa.eu/ep-dif/2295_13-03-2012.pdf,,,,,,,,,,
2295,Hannes SWOBODA,Austria,S&D,Social Democratic Party,European Parliament,MEP,President of Institute for International Peace Vienna,NGOs,NGOs,no,,http://iip5.webnode.com/institute/,,MEP,Elected office and public sector,Elected office,http://www.europarl.europa.eu/ep-dif/2295_13-03-2012.pdf,,,,,,,,,,
2295,Hannes SWOBODA,Austria,S&D,Social Democratic Party,European Parliament,MEP,Co-President of ICEUR Vienna (EU - Russia /NIS Research),Academia,Think tanks,no,,http://www.iceur-vienna.at/aboutus.html,,MEP,Elected office and public sector,Elected office,http://www.europarl.europa.eu/ep-dif/2295_13-03-2012.pdf,,,,,,,,,,
2295,Hannes SWOBODA,Austria,S&D,Social Democratic Party,European Parliament,MEP,Member of Advisory Board of IFIMES Ljubljana (Middle East and Balkan Studies),Academia,Think tanks,no,,https://www.linkedin.com/in/swoboda-hannes-b76a4a51?trk=pub-pbmap,,MEP,Elected office and public sector,Elected office,http://www.europarl.europa.eu/ep-dif/2295_13-03-2012.pdf,,,,,,,,,,
2295,Hannes SWOBODA,Austria,S&D,Social Democratic Party,European Parliament,MEP,President of the Sir Peter Ustinov Institute for the Study and Prevention of Prejudices,Academia,Think tanks,no,,https://www.linkedin.com/in/swoboda-hannes-b76a4a51?trk=pub-pbmap,,MEP,Elected office and public sector,Elected office,http://www.europarl.europa.eu/ep-dif/2295_13-03-2012.pdf,,,,,,,,,,
2295,Hannes SWOBODA,Austria,S&D,Social Democratic Party,European Parliament,MEP,Chairman FH Campus Wien/University for Applied Science,Academia,Academic,no,,https://www.linkedin.com/in/swoboda-hannes-b76a4a51?trk=pub-pbmap,,MEP,Elected office and public sector,Elected office,http://www.europarl.europa.eu/ep-dif/2295_13-03-2012.pdf,,,,,,,,,,
2295,Hannes SWOBODA,Austria,S&D,Social Democratic Party,European Parliament,MEP,Member of Advisory Board VERN University Zagreb,Academia,Academic,no,,https://www.linkedin.com/in/swoboda-hannes-b76a4a51?trk=pub-pbmap,,MEP,Elected office and public sector,Elected office,http://www.europarl.europa.eu/ep-dif/2295_13-03-2012.pdf,,,,,,,,,,
2295,Hannes SWOBODA,Austria,S&D,Social Democratic Party,European Parliament,MEP,Vicepresident Austrian Chapter of Club of Rome,Academia,Think tanks,no,,https://www.linkedin.com/in/swoboda-hannes-b76a4a51?trk=pub-pbmap,,MEP,Elected office and public sector,Elected office,http://www.europarl.europa.eu/ep-dif/2295_13-03-2012.pdf,,,,,,,,,,
2295,Hannes SWOBODA,Austria,S&D,Social Democratic Party,European Parliament,MEP,Member of board: Center for Democracy and Reconciliation in South East Europe (CDRSEE),NGOs,NGOs,yes ,,https://www.linkedin.com/in/swoboda-hannes-b76a4a51?trk=pub-pbmap,,MEP,Elected office and public sector,Elected office,http://www.europarl.europa.eu/ep-dif/2295_13-03-2012.pdf,,,,,,,,,,
2295,Hannes SWOBODA,Austria,S&D,Social Democratic Party,European Parliament,MEP,President of the Architekturzentrum Wien -AZW,Others,Public sector,no,,https://www.linkedin.com/in/swoboda-hannes-b76a4a51?trk=pub-pbmap,,MEP,Elected office and public sector,Elected office,http://www.europarl.europa.eu/ep-dif/2295_13-03-2012.pdf,,,,,,,,,,
2295,Hannes SWOBODA,Austria,S&D,Social Democratic Party,European Parliament,MEP,President of the Vienna Institute for Economic Comparisons,Academia,Academic,no,,https://www.linkedin.com/in/swoboda-hannes-b76a4a51?trk=pub-pbmap,,MEP,Elected office and public sector,Elected office,http://www.europarl.europa.eu/ep-dif/2295_13-03-2012.pdf,,,,,,,,,,
1253,Hans-Gert PÖTTERING,Germany,EPP,Christian Democratic Union,European Parliament,MEP,Chairman of the Konrad-Adenauer-Stiftung,NGOs,NGOs,no,3,https://de.wikipedia.org/wiki/Hans-Gert_P%C3%B6ttering,,"Coworker for the CSU/CSU faction in the German Budestag, President of the Konrad Adenauer Foundation, Board of Construction company Johan Bunte GmbH ",Elected office and public sector,Political parties,http://www.europarl.europa.eu/ep-dif/1253_28-03-2012.pdf,,,,,,,,,,
