host	date	location	title	guestid	guestname	cabinet
Commissioner Phil Hogan	22/01/2015	Brussels	Dairy policy. Supply management. Increased production costs and exodus of European dairy farmers out of the industry.	45338982456-46	European Milk Board	
Commissioner Phil Hogan	17/01/2015	Berlin	General Presentation by the Bauernverband: handing over of simplifiction proposals and explanation of those proposals	73085531345-65	Deutscher Bauernverband 	
Commissioner Phil Hogan	09/01/2015	Brussels	Current Agriculture Issues	unregistered	Ulster Farmers Union	
Commissioner Phil Hogan	18/12/2014	Brussels	Ireland Rural development programme. LPIS	711197015348-03	Irish Cattle &amp; Sheep Farmers&#039; Association Ltd	
Commissioner Phil Hogan	12/12/2014	Brussels	Ireland Rural Development Programme, Milk market measures, Commonage problems in Ireland	458700813641-37	Irish Farmers&#039; Association	
Commissioner Phil Hogan	10/12/2014	Brussels	Milk market measures. Debt levels in Denmark	13118423364-86	Danish Dairy Board Brussels s.a.	
Commissioner Phil Hogan	05/12/2014	Brussels	Current Agriculture Issues	849413211923-25	European Council of Young farmers	
Commissioner Phil Hogan	04/12/2014	Brussels	Simplification, Farmers share of retail, TTIP, Commissioners address to COPA Presidium	44856881231-49	Copa-Cogeca	
Commissioner Phil Hogan	03/12/2014	US Dairy Export Council	TTIP & Geographical indications	927974415051-53	US Dairy Export Council	
Commissioner Phil Hogan	02/12/2014	Brussels	Milk price pressures for 2015, superlevy fines, measures to support to dairy farmers, TTIP	58690875697-56	Irish Creamery Milk Suppliers Association	
Cristina Rueda Catry	06/03/2015	Brussels	implementation of the wine planting rights regulation, the idea to include wines in the quality regulation, the importance to simplify implementation of CAP, in particular for the Portuguese administration as well as the likelihood to adopt a new legislation on organics.	857553411399-49	Confederação Nacional das Cooperativas Agrícolas e do Crédito Agrícola de Portugal	Cabinet members of Commissioner Phil Hogan
Dermot Ryan Elisabetta Siracusa	05/03/2015	BERL 08/323	Present and discuss Copa-Cogeca’s preliminary ideas on CAP simplification	unregistered	Copa-Cogeca	Cabinet members of Commissioner Phil Hogan
Elisabetta Siracusa	04/03/2015	BERL 08/323	Aborder la finalisation et la mise en oeuvre de la programmation du FEADER pour 2014-2020 dans le contexte du transfert de l'autorité de gestion de ce fonds aux Régions depuis 2014 (méthode de travail avec les services de la Commission pour la finalisation et la mise en oeuvre des PDRR, existence d'une liste limitative de critères régionaux en matière de soutien à l'installation susceptible de limiter les marges de manœuvre régionales et conséquences potentielles pour l'ensemble des mesures régionales)	859474614808-89	Association des Régions de France	Cabinet members of Commissioner Phil Hogan
Cristina Rueda Catry	04/03/2015	Brussels	ICANN, Geographical Indications, protection and bilateral agreement, labelling and promotion	93296213494-75	European Federation of Origin Wines	Cabinet members of Commissioner Phil Hogan
Carl-Christian Buhr	03/03/2015	Brussels, Belgium	Presentation of Google's Irish operations and Dublin Campus and of promotion activities to increase e-commerce success of food-chain companies	03181945560-59	Google	Cabinet members of Commissioner Phil Hogan
Carl-Christian Buhr	03/03/2015	Brussels, Belgium	Presentation of Google's Irish operations and Dublin Campus and of promotion activities to increase e-commerce success of food-chain companies	03181945560-59	Google	Cabinet members of Commissioner Phil Hogan
Cristina Rueda Catry	03/03/2015	Brussels	priorities for UPA:simplification, equilibrate the bargaining power of the farmers, support to producer organisations, solution to the Russian embargo, a TTIP negotiation that privileges content to speed, support to young farmers and support to the role of women in agriculture.	736180714498-22	UNIÓN DE PEQUEÑOS AGRICULTORES	Cabinet members of Commissioner Phil Hogan
Tom Tynan	03/03/2015	Brussels	Present holistic management concept of Integrated Farming; present EISA; a first EISA assessment of the recent CAP reform; recognition of the concept of IF and how our network could support efforts to achieve more sustainability in agriculture in the EU; conclusions of the EESC own-initiative report on Integrated Production (incl.integrated Farming)	03201309079-58	European Initiative for Sustainable Development in Agriculture	Cabinet members of Commissioner Phil Hogan
Tom Tynan Cristina Rueda Catry	03/03/2015	Brussels	TTIP, simplification, rural development, climate change	458700813641-37	Irish Farmers&#039; Association	Cabinet members of Commissioner Phil Hogan
Carl-Christian Buhr	02/03/2015	Brussels, Belgium	"Presentation of Bayer's activities in data science (""big data on the fields""), presentation of relevant Horizon 2020 R&D&I support areas"	3523776801-85	Bayer AG	Cabinet members of Commissioner Phil Hogan
Carl-Christian Buhr	02/03/2015	Brussels, Belgium	"Presentation of Bayer's activities in data science (""big data on the fields""), presentation of relevant Horizon 2020 R&D&I support areas"	3523776801-85	Bayer AG	Cabinet members of Commissioner Phil Hogan
Tom Tynan	26/02/2015	Brussels	Priorities Comm Hogan and his views on animal welfare and the recent declaration by the NL, DK and DE; Inclusion of animal welfare (art 13 TFEU) in the Common Agricultural Policy and the support for sustainable, higher welfare systems; exchange views on Organic Farming proposal, exchange views on information to consumers and labelling; concerns regarding slaughter, transport, enforcement and controls	6809935493-49	Eurogroup for Animals	Cabinet members of Commissioner Phil Hogan
Elisabetta Siracusa	25/02/2015	BERL 08/323	Exchange of views regarding the quality policies and its impact on the agriculture competitiveness as 1 out of 4 farmers of Midi-Pyrénées is involved in one of the 120 Protected Designation of Origin and Protected Geographical Designation. In addition to that, Midi-Pyrénées Region is now leading the European network AREPO (Association of European Regions for Origin Products) since November 2014	85470672196-59	Association Midi-Pyrénées Europe	Cabinet members of Commissioner Phil Hogan
Tom Tynan Cristina Rueda Catry	25/02/2015	Brussels	Nouveau règlement sur l'agriculture biologique et ses conséquences pour la production de volailles biologiques; termes réservés de qualité en volailles de chair	5235485727-61	European Rural Poultry Association	Cabinet members of Commissioner Phil Hogan
Carl-Christian Buhr	25/02/2015	Brussels, Belgium	Presentation by IRE of its organisation and members. Presentation of its work in and views about the Supply Chain Initiative and its future	unregistered	Independent Retail Europe	Cabinet members of Commissioner Phil Hogan
Carl-Christian Buhr	25/02/2015	Brussels, Belgium	Presentation by IRE of its organisation and members. Presentation of its work in and views about the Supply Chain Initiative and its future	unregistered	Independent Retail Europe (formerly UGAL - Union of Groups of Independent Retailers of Europe)	Cabinet members of Commissioner Phil Hogan
Dermot Ryan	24/02/2015	BERL 08/304	Research into consumer attitudes to method of production labelling, Research into the confusion caused by existing EU labels, The role method of production labelling can play in delivering EU objectives, The ongoing review of the EU's poultrymeat marketing standards.	6809935493-49	Eurogroup for Animals (Labelling matters)	Cabinet members of Commissioner Phil Hogan
Dermot Ryan	24/02/2015	BERL 08/304	Research into consumer attitudes to method of production labelling, Research into the confusion caused by existing EU labels, The role method of production labelling can play in delivering EU objectives, The ongoing review of the EU's poultrymeat marketing standards.	26535516539-45	Compassion in World Farming (Labelling matters)	Cabinet members of Commissioner Phil Hogan
Dermot Ryan	24/02/2015	BERL 08/304	Research into consumer attitudes to method of production labelling, Research into the confusion caused by existing EU labels, The role method of production labelling can play in delivering EU objectives, The ongoing review of the EU's poultrymeat marketing standards.	unregistered	RSPCA (Labelling matters)	Cabinet members of Commissioner Phil Hogan
Dermot Ryan	24/02/2015	BERL 08/304	Research into consumer attitudes to method of production labelling, Research into the confusion caused by existing EU labels, The role method of production labelling can play in delivering EU objectives, The ongoing review of the EU's poultrymeat marketing standards.	543698010969-83	Soil Association (Labelling matters)	Cabinet members of Commissioner Phil Hogan
Cristina Rueda Catry	24/02/2015	Brussels	Market situation in the tobacco sector, effects of plain packaging	unregistered	1451128505-57	Cabinet members of Commissioner Phil Hogan
Carl-Christian Buhr	23/02/2015	Brussels, Belgium	General presentation Kellogg Company, increased outreach to farmers, policy debates followed closely: origin labelling, food supply chain	89352824072-19	Kellogg Company	Cabinet members of Commissioner Phil Hogan
Carl-Christian Buhr	23/02/2015	Brussels, Belgium	General presentation Kellogg Company, increased outreach to farmers, policy debates followed closely: origin labelling, food supply chain	89352824072-19	Kellogg Company	Cabinet members of Commissioner Phil Hogan
Dermot Ryan	20/02/2015	BERL 08/318	• discuss the greening implementation ( Member States choices) but also the whole simplification exercise but also the conference we organize in March 4th (EP – ‘sustainable future for EU farming?’) in which Commissioner Hogan will speak	06798511314-27	European Environmental Bureau	Cabinet members of Commissioner Phil Hogan
Tom Tynan	19/02/2015	Brussels	competitiveness of the EU sugar sector in the run-up to 2017 and the abolition of sugar production quotas. concerns and brief you on Tate & Lyle Sugars current activities at EU level. discuss the CXL duty on sugar cane imports from certain third countries as well as sugar access to the EU market by way of FTA’s currently being negotiated.	50465929991-70	T&amp;L Sugars Limited	Cabinet members of Commissioner Phil Hogan
Dermot Ryan	18/02/2015	BERL 08/318	1. Recognize the contribution of renewables, as home-grown sustainable energy sources, in enhancing energy security; 2. Pave the way for the Commission to propose a robust governance system implementing the 2030 climate and energy package; 3. Provide additional impetus to meet the 2030 interconnection objectives using the speedy completion of the Projects of Common Interest list as a benchmark; 4 Suggest a better coordination in national power system operation; 5. Ensure that funds allocated by the Junker investment plan are earmarked for projects that help meet the EU’s 2030 climate and energy objectives.	19920706471-21	European Wind Energy Association	Cabinet members of Commissioner Phil Hogan
Tom Tynan	18/02/2015	Brussels	Exchange on milk market situation; EDA commitment to transparency and cooperation : economic board of MMO, presidium of the CDG MILK & beyond; Dairy Policy & EDA dairy policy recommendations; “Dairy Policy for the 21st Century” – up-date on the EDA Conference of 18 March 2015; “2015 – A New Start for the European Dairy” – EDA Annual Convention 15 October 2015 in Edinburgh / UK	42967152383-63	European Dairy Association aisbl	Cabinet members of Commissioner Phil Hogan
Tom Tynan	13/02/2015	Brussels	"FEFAC-Introducing the Agri-Food Chain Coalition & Key; FoodDrinkEurope: promoting the establishment of a Food Knowledge and Innovation Community in 2016-2017; Copa-Cogeca: Guaranteeing the functioning and further integration of the single market, Reducing adm burden & boost investment; Euroseeds: setting up a dedicated unit on ""innovation, agricultural productivity, resource-efficiency and competitiveness"" in DG AGRI."	77105321408-83	Fédération Européenne des Fabricants d&#039;Aliments Composés	Cabinet members of Commissioner Phil Hogan
Tom Tynan	12/02/2015	Brussels	Understanding fertilizer prices, reducing carbon footprint of agriculture production, developing indicators for nitrogen use efficiency, Commission proposals for new fertilizer regulation	80788715017-29	Fertilizers Europe	Cabinet members of Commissioner Phil Hogan
Tom Tynan	12/02/2015	Brussels	Core fields of activity of Bayer CropScience, Key regulatory framework, concerns regarding the implementation of the Plant Protection Products Regulation 1107/2009 and the Maximum Residues Level Regulation 396/2005, impact of EU regulations on trade in agricultural products and product availability for farmers, impact of the hazard-based approach and regulatory cut offs for Endocrine Disruptors, Neonicotinoids and bee health	3523776801-85	Bayer AG	Cabinet members of Commissioner Phil Hogan
Shane Sutherland	11/02/2015	Brussels	Coceral	unregistered	MIFID 2	Cabinet members of Commissioner Phil Hogan
Tom Tynan	11/02/2015	Brussels	MiFID & MiFIR 2	2050009628-31	Comité du commerce des céréales, aliments du bétail, oléagineux, huile d&#039;olive, huiles et graisses et agrofournitures de l&#039;U.E.	Cabinet members of Commissioner Phil Hogan
Tom Tynan	06/02/2015	Brussels	Simplification, retail chain, pesticide negotiations, Commissioner's visit to Royal Highlands Show	758857015634-26	NFU Scotland	Cabinet members of Commissioner Phil Hogan
Elisabetta Siracusa	06/02/2015	BERL 08/323	Meeting with the Fédération Nationale des Syndicats d’Exploitants Agricoles – France	unregistered	Fédération Nationale des Syndicats d’Exploitants Agricoles – France	Cabinet members of Commissioner Phil Hogan
Tom Tynan	05/02/2015	Brussels	Simplification, Greening, Fat tax, Pig price crisis, ammonia emissions	1634450483-86	Landbrug &amp; Fødevarer - Danish Agriculture and Food Council	Cabinet members of Commissioner Phil Hogan
Tom Tynan	05/02/2015	Brussels	Simplification, Retail chain, Dairy industry consolidation, Commissioner's visit to Finland	56039441735-48	Maa- ja metsätaloustuottajain Keskusliitto – Central Union of Agricultural Producers and Forest Owners	Cabinet members of Commissioner Phil Hogan
Shane Sutherland	05/02/2015	Brussels	Airline regulation	142277315551-86	Etihad	Cabinet members of Commissioner Phil Hogan
Elisabetta Siracusa	04/02/2015	BERL 08/323	"Meeting with the ""Association Générale des Producteurs de Maïs"""	unregistered	Association Générale des Producteurs de Maïs	Cabinet members of Commissioner Phil Hogan
Dermot Ryan	02/02/2015	BERL 08/318	Meeting with European Crop Protection Association	0711626572-26	European Crop Protection Association	Cabinet members of Commissioner Phil Hogan
Carl-Christian Buhr	02/02/2015	Brussels, Belgium	Presentation IFPI, importance of cultural/music industry to the European economy, wide availability of digital music	60394321918-91	IFPI Representing recording industry worldwide	Cabinet members of Commissioner Phil Hogan
Carl-Christian Buhr	02/02/2015	Brussels, Belgium	Presentation IFPI, importance of cultural/music industry to the European economy, wide availability of digital music	60394321918-91	IFPI Representing recording industry worldwide	Cabinet members of Commissioner Phil Hogan
Cristina Rueda Catry Peter Power	28/01/2015	Brussels, BERL	Geographical Indications and Reg 110	64926487056-58	SpiritsEurope	Cabinet members of Commissioner Phil Hogan
Elisabetta Siracusa	28/01/2015	BERL 08/323	Courtesy meeting	47690759500-37	FEDERACIÓN ESPAÑOLA DE ASOCIACIONES DE PRODUCTORES EXPORTADORES DE FRUTAS, HORTALIZAS, FLORES Y PLANTAS VIVAS	Cabinet members of Commissioner Phil Hogan
Carl-Christian Buhr	27/01/2015	Brussels	General presentation of CEETTAR's activities. Presentation and disucssion of arguments against supporting farmers in acquiring machinery too large for their holdings. Relations between CEETTAR and the agriculture machinery sector.	15086733813-03	Confédération Européenne des Entrepreneurs de Travaux Techniques Agricoles, Ruraux et Forestiers	Cabinet members of Commissioner Phil Hogan
Carl-Christian Buhr	27/01/2015	Brussels	General presentation of CEETTAR's activities. Presentation and disucssion of arguments against supporting farmers in acquiring machinery too large for their holdings. Relations between CEETTAR and the agriculture machinery sector.	15086733813-03	Confédération Européenne des Entrepreneurs de Travaux Techniques Agricoles, Ruraux et Forestiers/ European Organisation of Agricultural and Rural Contractors / Zentralverband der europäischen Lohnunternehmer	Cabinet members of Commissioner Phil Hogan
Peter Power	23/01/2015	Dublin, Ireland	Meeting board of Directors of IBEC to discuss Commission Work Programme	479468313744-50	Ibec	Cabinet members of Commissioner Phil Hogan
Peter Power	23/01/2015	Dublin, Ireland	Nomad cattle and exporting to 3rd countries	102242415698-61	Northern Ireland Meat Exporters Association	Cabinet members of Commissioner Phil Hogan
Tom Tynan	22/01/2015	Brussels	Dairy policy. Supply management. Increased production costs and exodus of European dairy farmers out of the industry.	45338982456-46	European Milk Board	Cabinet members of Commissioner Phil Hogan
Tom Tynan	21/01/2015	Brussels	Market developments in the dairy industry. EU dairy policy. FTAS need to open new export markets	339967513518-43	Centre national de l&#039;économie laitière	Cabinet members of Commissioner Phil Hogan
Elisabetta Siracusa	21/01/2015	BER 08/323	General courtesy meeting	55507619225-88	Coldiretti	Cabinet members of Commissioner Phil Hogan
Tom Tynan	21/01/2015	Brussels	Future of the CAP. Importance of ennhancing policy coherence at EU-Level. CEMA event agenda for 2015	489575310490-58	CEMA - European Agricultural Machinery	Cabinet members of Commissioner Phil Hogan
Tom Tynan	21/01/2015	Brussels	Impact of duty-free rice import from EBA countries	31958409365-30	Federation of European Rice Millers	Cabinet members of Commissioner Phil Hogan
Shane Sutherland	20/01/2015	Brussels	Energy and Climate	64869491516-70	European Climate Foundation	Cabinet members of Commissioner Phil Hogan
Cristina Rueda Catry Tom Tynan	19/01/2015	Brussels	Ban on sale of Dutch veal to US and market opportunities to export under FTAS	095285315431-70	VanDrie Group	Cabinet members of Commissioner Phil Hogan
Tom Tynan	15/01/2015	Brussels	MiFID and ongoing definition of level 2 legislation	09586631237-74	European agri-cooperatives	Cabinet members of Commissioner Phil Hogan
Tom Tynan	15/01/2015	Brussels	Agricultural market development. Market management	5159980776-55	EUROPEAN ASSOCIATION OF DAIRY TRADE	Cabinet members of Commissioner Phil Hogan
Shane Sutherland	12/01/2015	Brussels	Forestry	3647455667-08	Conféderation Européenne des Propriétaires Forestiers	Cabinet members of Commissioner Phil Hogan
Cristina Rueda Catry Tom Tynan	09/01/2015	Brussels	Regulation(EU)No 481/2012 and grain-fed beef quota	unregistered	r Russell Phillips, minister-Counsellor, Australian mission	Cabinet members of Commissioner Phil Hogan
Cristina Rueda Catry Tom Tynan	09/01/2015	Brussels	Regulation(EU)No 481/2012 and grain-fed beef quota	273679115361-86	Meat and Livestock Australia	Cabinet members of Commissioner Phil Hogan
Tom Tynan	18/12/2014	Brussels	Ireland Rural development programme. LPIS	711197015348-03	Irish Cattle &amp; Sheep Farmers&#039; Association Ltd	Cabinet members of Commissioner Phil Hogan
Tom Tynan	18/12/2014	Brussels	Rural development programmes, greening measures, engagement with the Commission, Divil dialogue groups	27693284220-05	Lega Italiana Protezione Uccelli	Cabinet members of Commissioner Phil Hogan
Cristina Rueda Catry Tom Tynan	17/12/2014	Brussels	Priorities for agriculture and trade ahead of the end of single CMO for sugar in 2017. Outlets for out-of quota sugar	49679062863-35	COMITE EUROPEEN des FABRICANTS de SUCRE	Cabinet members of Commissioner Phil Hogan
Dermot Ryan	16/12/2014	BERL 08/318	General introduction: recent developments in solar photovoltaics and what it means for Europe’s energy market; relations to the role and opportunities for farmers, The 2030 climate and energy framework, The Energy Union Communication and the role of renewable energy sources, Aspects of a sustainable power market design	2680046412-48	European Photovoltaic Industry Association	Cabinet members of Commissioner Phil Hogan
Elisabetta Siracusa	16/12/2014	Brussels, Belgium	State of Play of CAP, including productions like Milk, State of Play of TTIP and other FTAs, Food Quality, Food chains and short circuits, Policies for family farms	28920471149-55	Via Campesina	Cabinet members of Commissioner Phil Hogan
Shane Sutherland	16/12/2014	Brussels	Forestry	72279144480-58	Confederation of European Paper Industries	Cabinet members of Commissioner Phil Hogan
Carl-Christian Buhr	16/12/2014	Belgium, Brussels	General presentation, food supply chain, unfair trading practices	44856881231-49	European Farmers (COPA)	Cabinet members of Commissioner Phil Hogan
Carl-Christian Buhr	16/12/2014	Belgium, Brussels	General presentation, food supply chain, unfair trading practices	09586631237-74	European agri-cooperatives (COGECA)	Cabinet members of Commissioner Phil Hogan
Dermot Ryan	15/12/2014	BERL 08/318	Meeting with Global Crop Diversity Trust (Jill Craig, Edelman)	816370514047-05	Global Crop Diversity Trust	Cabinet members of Commissioner Phil Hogan
Tom Tynan	12/12/2014	Brussels	Ireland Rural Development Programme, Milk market measures, Commonage problems in Ireland	458700813641-37	Irish Farmers&#039; Association	Cabinet members of Commissioner Phil Hogan
Shane Sutherland	11/12/2014	Berlaymont Building	Forestry	38315289949-88	European Forest Institute	Cabinet members of Commissioner Phil Hogan
Tom Tynan	10/12/2014	Brussels	Milk market measures. Debt levels in Denmark	13118423364-86	Danish Dairy Board Brussels s.a.	Cabinet members of Commissioner Phil Hogan
Shane Sutherland	10/12/2014	Berlaymont	Biotechnology	1298286943-59	EuropaBio	Cabinet members of Commissioner Phil Hogan
Carl-Christian Buhr	10/12/2014	Brussels, Belgium	General presentation of the organisation, topics of current interest, http://www.supplychaininitiative.eu/	75818824519-45	FoodDrinkEurope	Cabinet members of Commissioner Phil Hogan
Carl-Christian Buhr	10/12/2014	Brussels, Belgium	General presentation of the organisation, topics of current interest, http://www.supplychaininitiative.eu/	75818824519-45	FoodDrinkEurope	Cabinet members of Commissioner Phil Hogan
Carl-Christian Buhr	09/12/2014	Brussels, Belgium	General presentation of the association, current topics of concern, http://www.supplychaininitiative.eu/	84973761187-60	EuroCommerce	Cabinet members of Commissioner Phil Hogan
Carl-Christian Buhr	09/12/2014	Brussels, Belgium	General presentation of the association, current topics of concern, http://www.supplychaininitiative.eu/	84973761187-60	EuroCommerce	Cabinet members of Commissioner Phil Hogan
Tom Tynan Dermot Ryan	08/12/2014	Brussels	Milk market measures	94614946815-09	Federazione Italiana dell&#039;Industria Alimentare 	Cabinet members of Commissioner Phil Hogan
Tom Tynan	04/12/2014	Brussels	Simplification, Farmers share of retail, TTIP, Commissioners address to COPA Presidium	44856881231-49	Copa-Cogeca	Cabinet members of Commissioner Phil Hogan
Cristina Rueda Catry Tom Tynan	03/12/2014	US Dairy Export Council	TTIP & Geographical indications	927974415051-53	US Dairy Export Council	Cabinet members of Commissioner Phil Hogan
Cristina Rueda Catry	03/12/2014	Brussels	Organic farming legislation	751354015023-07	Hipp GmbH &amp; Co. Produktion KG	Cabinet members of Commissioner Phil Hogan
Dermot Ryan	03/12/2014	BERL 08/318	sustainable agriculture contributing to economic growth	04657143399-39	Eli Lilly and Company	Cabinet members of Commissioner Phil Hogan
Dermot Ryan	03/12/2014	BERL 08/318	Meeting with IFOAM (Stephen Meredith)	unregistered	International Federation of Organic Agriculture Movements EU Regional Group (IFOAM EU Group) 	Cabinet members of Commissioner Phil Hogan
Carl-Christian Buhr	03/12/2014	Brussels, Belgium	General presentation of the visitor's activities	17144181426-26	Deutscher Raiffeisenverband e.V.	Cabinet members of Commissioner Phil Hogan
Carl-Christian Buhr	03/12/2014	Brussels, Belgium	General presentation of the visitor's activities	17144181426-26	Deutscher Raiffeisenverband e.V.	Cabinet members of Commissioner Phil Hogan
Carl-Christian Buhr	02/12/2014	Brussels, Belgium	Simplification of the common agricultural policy, general presentation	73085531345-65	Deutscher Bauernverband	Cabinet members of Commissioner Phil Hogan
Carl-Christian Buhr	02/12/2014	Brussels, Belgium	Simplification of the common agricultural policy, general presentation	73085531345-65	Deutscher Bauernverband	Cabinet members of Commissioner Phil Hogan
Peter Power	02/12/2014	Brussels	Informal discussion on future challenges for Europe	590425913785-60	Global Counsel LLP	Cabinet members of Commissioner Phil Hogan
Tom Tynan	02/12/2014	Brussels	Milk price pressures for 2015, superlevy fines, measures to support to dairy farmers, TTIP	58690875697-56	Irish Creamery Milk Suppliers Association	Cabinet members of Commissioner Phil Hogan
Tom Tynan Cristina Rueda Catry	01/12/2014	Brussels	EU-SADC Economic Partnership Agreement	801843715024-84	South African Sugar Association (SASA)	Cabinet members of Commissioner Phil Hogan
Dermot Ryan	18/11/2014	BERL 08/318	Meeting with Julian Hilton Thompson (VP Corp Rels) and David Coleman (Dir Euro Pub Affrs), McDonalds	3830179837-87	McDonald&#039;s Europe	Cabinet members of Commissioner Phil Hogan
Elisabetta Siracusa	21/01/2014 (Cancelled)	BERL 08/323	General Courtesi meeting	55507619225-88	Coldiretti	Cabinet members of Commissioner Phil Hogan
Dermot Ryan	18/11/2013 (Cancelled)	BERL 08/318	Meeting with Julian Hilton Thompson (VP Corp Rels) and David Coleman (Dir Euro Pub Affrs), McDonalds	3830179837-87	McDonald&#039;s Europe	Cabinet members of Commissioner Phil Hogan
Commissioner Jonathan Hill	18/03/2015	Brussels	Financial Services Policy	849798415326-80	Association of European Businesses	
Commissioner Jonathan Hill	13/03/2015	London	Financial Services Policy	73494557272-88	Open Europe	
Commissioner Jonathan Hill	13/03/2015	London	Financial Services Policy	701266814986-18	Goldman Sachs	
Commissioner Jonathan Hill	12/03/2015	Edinburgh	Financial Services Policy	968730515094-08	National Association of Pension Funds	
Commissioner Jonathan Hill	06/03/2015	Belgium, Brussels, BERL	Capital Markets Union + SMEs	55820581197-35	Union européenne de l&#039;Artisanat et des petites et moyennes entreprises, aisbl	
Commissioner Jonathan Hill	05/03/2015	Belgium, Brussels, BERL	Capital Markets Union + industry	3978240953-79	Businesseurope	
Commissioner Jonathan Hill	05/03/2015	Brussels	Banking issues	03094871618-32	UniCredit	
Commissioner Jonathan Hill	04/03/2015	Brussels	Introductory meeting, Capital Markets Union, Retail financial services	unregistered	Austrian Savings Bank Association	
Commissioner Jonathan Hill	03/03/2015	Brussels	Overview of Financial Services policy	12112965774-95	ING Group	
Commissioner Jonathan Hill	27/02/2015	New York	EU and US Regulatory Agenda in Financial Services	unregistered	New York Stock Exchange	
Commissioner Jonathan Hill	27/02/2015	New York	EU and US Regulatory Agenda in Financial Services	041415315167-65	Managed Funds Association	
Commissioner Jonathan Hill	27/02/2015	New York	EU and US Regulatory Agenda in Financial Services	51436554494-18	Blackrock	
Commissioner Jonathan Hill	26/02/2015	New York	EU and US Regulatory Agenda in Financial Services	701266814986-18	Goldman Sachs	
Commissioner Jonathan Hill	20/02/2015	London	Financial Services Policy	72390466359-39	Barclays PLC	
Commissioner Jonathan Hill	20/02/2015	London	Financial Services Policy	29701922039-63	Morgan Stanley	
Commissioner Jonathan Hill	20/02/2015	London	Financial Services Policy	891654116196-35	Financial Reporting Council	
Commissioner Jonathan Hill	19/02/2015	Brussels	Markets in Financial Instruments Directive (MiFID)/Capital Markets Union/European Market Infrastructure Regulation (EMIR)	17804464809-28	EURONEXT	
Commissioner Jonathan Hill	18/02/2015	Brussels	Markets in Financial Instruments Directive (MiFID)/Capital Markets Union (CMU)	96816064173-47	Bundesverband Investment und Asset Management e.V.	
Commissioner Jonathan Hill	18/02/2015	Brussels	IORP II, Solvency II, CMU	5149794935-37	Fédération Française des Sociétés d&#039;Assurances	
Commissioner Jonathan Hill	13/02/2015	Brussels	Banking and markets	unregistered	KfW Bankengrupppe	
Commissioner Jonathan Hill	12/02/2015	Brussels	Financial Services Policy	011095511691-05	Society for Worldwide Interbank Financial Telecommunication	
Commissioner Jonathan Hill	05/02/2015	Brussels	Introductory Meeting	3394026642-58	BP p.l.c.	
Commissioner Jonathan Hill	30/01/2015	Brussels	Introductory Meeting	803137414612-21	FIA Europe	
Commissioner Jonathan Hill	30/01/2015	Brussels	Capital Markets Union	86270761494-62	Aviva Plc	
Commissioner Jonathan Hill	29/01/2015	Brussels	Introductory Meeting	592343015058-67	European Union Chamber of Commerce in China	
Commissioner Jonathan Hill	29/01/2015	Brussels	CMU, Long-term savings, Product disclosure	3373670692-24	European Fund and Asset Management Association	
Commissioner Jonathan Hill	29/01/2015	Brussels	corporate governance; long-term investment access to risk capital for European companies	190987114891-73	Investor AB	
Commissioner Jonathan Hill	28/01/2015	Brussels	Financial Services Policy	237922911665-25	TheCityUK	
Commissioner Jonathan Hill	27/01/2015	Brussels	BSR, TLAC, CMU	83370363079-88	Commerzbank AG	
Commissioner Jonathan Hill	27/01/2015	Brussels	Capital Markets Union	unregistered	The Association for Financial Markets in Europe	
Commissioner Jonathan Hill	27/01/2015	Brussels	ELTIF, CMU	51436554494-18	BlackRock	
Commissioner Jonathan Hill	26/01/2015	Brussels	Capital Markets Union	unregistered	International Market Association	
Commissioner Jonathan Hill	23/01/2015	London	Introductory Meeting	550494915045-08	London Stock Exchange Group	
Commissioner Jonathan Hill	23/01/2015	London, UK	Financial Service Policy	550494915045-08	London Stock Exchange	
Commissioner Jonathan Hill	23/01/2015 (Cancelled)	London. UK	Meeting with the London Stock Exchange	unregistered	Financial Services Policy	
Commissioner Jonathan Hill	23/01/2015	London, UK	Financial Services Policy	435008814959-36	New Financial	
Commissioner Jonathan Hill	22/01/2015	Brussels	Financial Services Policy 2015 especially capital markets union	78787381113-69	BNP PARIBAS	
Commissioner Jonathan Hill	21/01/2015	Brussels	Financial Services Policy	35525111082-17	Western Union Company	
Commissioner Jonathan Hill	20/01/2015	Brussels	Implementation/completion of the financial reform/prospects for further financial regulation and CMU	365453815252-29	UBS AG	
Commissioner Jonathan Hill	19/01/2015	Brussels, BERL 10th floor	IFRS	unregistered	IFRS Foundation	
Commissioner Jonathan Hill	12/01/2015	Brussels	Introductory meeting + discussion of priorities for 2015 in financial services	06698681039-26	European Trade Union Confederation	
Commissioner Jonathan Hill	17/12/2014	Brussels	Insurers' major role as institutional investors in the European economy	33213703459-54	Insurance Europe	
Commissioner Jonathan Hill	15/12/2014	Brussels	Bank stress tests, LCR, CMU, Bank structural reform, TLAC	001866415031-87	HSBC Holdings PLC	
Commissioner Jonathan Hill	09/12/2014	Brussels, Belgium	Financial services: priorities for 2015 including Capital Markets Union	4722660838-23	European Banking Federation	
Commissioner Jonathan Hill	09/12/2014	Brussels	Securitisation aspects of CMU and CMU more broadly, PCS initiative	225892115033-33	Prime Collateralised Securities 	
Commissioner Jonathan Hill	04/12/2014	Brussels	Introductory Meeting	141041215133-83	Intercontinental Exchange	
Commissioner Jonathan Hill	04/12/2014	Brussels - Belgium	Financial and capital markets policy	0014082722-83	Eurochambres	
